trial_index,scenario_name,SNR_dB,old_callable,old_route_name,new_route_name,old_status,new_status,old_confidence,new_confidence,old_az_est,new_az_est,old_el_est,new_el_est,route_agree,status_agree,confidence_agree,az_diff_mean,el_diff_mean,old_success,new_success,old_false_high,new_false_high,old_boundary_missed,new_boundary_missed
106,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
107,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
108,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
109,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
110,weak_target_boundary,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
111,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
112,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
113,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
114,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
115,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
116,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
117,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
118,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
119,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
120,near_antiphase_boundary,16,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
