sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.032160,197,1.985000,22.000000
9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022847,200,2.000000,22.000000
9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017232,200,2.000000,22.000000
9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013228,200,2.000000,22.000000
9,0.311111,12.844444,13.155556,30,200,200,1.000000,1.000000,0.009923,200,2.000000,22.000000
10,0.280000,12.860000,13.140000,-4,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,-2,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,0,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,2,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,4,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,6,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,8,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,10,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,12,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.035355,1,1.005000,24.000000
10,0.280000,12.860000,13.140000,18,6,6,0.030000,0.030000,0.056421,6,1.030000,24.000000
10,0.280000,12.860000,13.140000,20,57,57,0.285000,0.285000,0.049559,57,1.285000,24.000000
10,0.280000,12.860000,13.140000,22,142,141,0.710000,0.705000,0.042235,142,1.710000,24.000000
10,0.280000,12.860000,13.140000,24,185,185,0.925000,0.925000,0.031400,185,1.925000,24.000000
10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.022091,200,2.000000,24.000000
10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017190,200,2.000000,24.000000
10,0.280000,12.860000,13.140000,30,200,200,1.000000,1.000000,0.012777,200,2.000000,24.000000
