stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,same_raw_observation_flag,nonoracle_oracle_gap
B,el0_2,0,2,8,level2_rank1_wrong_el_assumed,1,1,0,0,0.0350265266960012,2,2.00043468309427,2,1,el_error,4.07252531460209e-07,1.67423447550091e-07,2.39829083910118e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,8,level2_el_bank_old,1,1,0.12,0.12,0.0241734733039988,1.36,1.36298216000388,2,0.88,el_error,1.26861246606203e-07,2.96926747708936e-09,1.23891979129113e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.88
B,el0_2,0,2,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,8,common_el_covfit_old,1,0.56,1,0.56,0.113687914128729,0,0.113687914128729,2,0.44,az_error,1.61671718245432e-05,1.52764901320991e-05,8.90681692444084e-07,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.44
B,el0_2,0,2,8,common_el_refocus_power,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,0.0202182077773203,0.0203116641665402,NaN,NaN,focused_power,0,0,1,0
B,el0_2,0,2,8,common_el_refocus_2dmusic_peak,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_2,0,2,8,common_el_refocus_rank1_objective,1,1,0.04,0.04,0.0254938932159953,1.64,1.64033194341223,2,0.96,el_error,1.74191009173813e-07,0,1.74191009173813e-07,NaN,-1.6,-1.6,1.64,NaN,NaN,4.795,1,rank1_objective,-1.6,-1.6,1,0.96
B,el0_2,0,2,8,oracle_el_rank1_covfit,1,1,1,1,0.0319891179238938,0.35,0.360396593663348,2,0,ok,1.61421925316651e-05,1.48348523198935e-05,1.30734021177162e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_5,0,5,8,level2_rank1_wrong_el_assumed,1,0.98,0,0,0.050665406448173,5,5.00035303910144,2,1,el_error,2.90711968954831e-06,2.46287258703195e-06,4.4424710251636e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,8,level2_el_bank_old,1,1,0.12,0.12,0.0241734733039988,1.36,1.36298216000388,2,0.88,el_error,1.26861246606203e-07,2.96926747708936e-09,1.23891979129113e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.88
B,el0_5,0,5,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,8,common_el_covfit_old,1,0.56,1,0.56,0.113687914128729,0,0.113687914128729,2,0.44,az_error,1.61671718245432e-05,1.52764901320991e-05,8.90681692444084e-07,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.44
B,el0_5,0,5,8,common_el_refocus_power,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,0.0202182077773203,0.0203116641665402,NaN,NaN,focused_power,0,0,1,0
B,el0_5,0,5,8,common_el_refocus_2dmusic_peak,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_5,0,5,8,common_el_refocus_rank1_objective,1,1,0.04,0.04,0.0254938932159953,1.64,1.64033194341223,2,0.96,el_error,1.74191009173813e-07,0,1.74191009173813e-07,NaN,-1.6,-1.6,1.64,NaN,NaN,4.795,1,rank1_objective,-1.6,-1.6,1,0.96
B,el0_5,0,5,8,oracle_el_rank1_covfit,1,1,1,1,0.0319891179238938,0.35,0.360396593663348,2,0,ok,1.61421925316651e-05,1.48348523198935e-05,1.30734021177162e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_10,0,10,8,level2_rank1_wrong_el_assumed,1,0.36,0,0,0.0964136738201739,10,10.0004672738765,2,1,az_error,0.000357990698065907,0.000343533490682153,1.44572073837535e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,8,level2_el_bank_old,1,1,0.12,0.12,0.0241734733039988,1.36,1.36298216000388,2,0.88,el_error,1.26861246606203e-07,2.96926747708936e-09,1.23891979129113e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.88
B,el0_10,0,10,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,8,common_el_covfit_old,1,0.56,1,0.56,0.113687914128729,0,0.113687914128729,2,0.44,az_error,1.61671718245432e-05,1.52764901320991e-05,8.90681692444084e-07,6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.44
B,el0_10,0,10,8,common_el_refocus_power,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,0.0202182077773203,0.0203116641665402,NaN,NaN,focused_power,0,0,1,0
B,el0_10,0,10,8,common_el_refocus_2dmusic_peak,1,1,1,1,0.0273959288106635,0,0.0273959288106635,2,0,ok,1.13225178053456e-07,2.02509749887344e-08,9.29742030647216e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_10,0,10,8,common_el_refocus_rank1_objective,1,1,0.04,0.04,0.0254938932159953,1.64,1.64033194341223,2,0.96,el_error,1.74191009173813e-07,0,1.74191009173813e-07,NaN,-1.6,-1.6,1.64,NaN,NaN,4.795,1,rank1_objective,-1.6,-1.6,1,0.96
B,el0_10,0,10,8,oracle_el_rank1_covfit,1,1,1,1,0.0319891179238938,0.35,0.360396593663348,2,0,ok,1.61421925316651e-05,1.48348523198935e-05,1.30734021177162e-06,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_0,0,0,16,level2_rank1_wrong_el_assumed,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_0,0,0,16,level2_el_bank_old,1,1,0.02,0.02,0.0265959288106635,2.64,2.64036517180202,2,0.98,el_error,1.53152034773958e-07,0,1.53152034773958e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.98
B,el0_0,0,0,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_0,0,0,16,common_el_covfit_old,1,0.54,1,0.54,0.122271437709331,0,0.122271437709331,2,0.46,az_error,2.707137507514e-06,2.38750599162006e-06,3.19631515893938e-07,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.46
B,el0_0,0,0,16,common_el_refocus_power,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,0.0203481026900204,0.0203606023383792,NaN,NaN,focused_power,0,0,1,0
