route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_proto6_array,lambda2_proto6_beam,lambda2_proto8_array,lambda2_proto8_beam,root_dist_proto6_array,root_dist_proto6_beam,root_dist_proto8_array,root_dist_proto8_beam,cond_number_complex,cond_number_real,max_imag_part_rel
proto6_array_root_music,8,0.350000,12.825000,13.175000,16,200,187,171,1.000000,0.935000,0.855000,0.053648,200,2.000000,16.000000,18.000000,2.839577,2.974723,2.839577,762.548864,0.004441,0.004224,0.004441,0.030053,2.845166e+03,2.845166e+03,4.742754e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,18,200,198,196,1.000000,0.990000,0.980000,0.036353,200,2.000000,16.000000,18.000000,4.014077,4.207437,4.014077,1042.411972,0.003369,0.003226,0.003369,0.030049,4.524113e+03,4.524113e+03,4.732756e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.026151,200,2.000000,16.000000,18.000000,5.891411,6.179122,5.891411,1355.000730,0.002519,0.002409,0.002519,0.030049,7.145977e+03,7.145977e+03,4.781907e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.019766,200,2.000000,16.000000,18.000000,8.844173,9.268840,8.844173,1672.728669,0.002003,0.001920,0.002003,0.030048,1.132740e+04,1.132740e+04,4.766872e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016153,200,2.000000,16.000000,18.000000,13.518539,14.162609,13.518539,1964.487134,0.001577,0.001513,0.001577,0.030048,1.790142e+04,1.790142e+04,4.779286e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.013508,200,2.000000,16.000000,18.000000,20.917539,21.919997,20.917539,2208.175080,0.001228,0.001177,0.001228,0.030047,2.846924e+04,2.846924e+04,4.760460e-17
proto6_array_root_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.009577,200,2.000000,16.000000,18.000000,32.579066,34.132540,32.579066,2395.245676,0.000943,0.000905,0.000943,0.030047,4.491544e+04,4.491544e+04,4.759405e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,14,200,20,8,1.000000,0.100000,0.040000,0.121421,200,2.000000,20.000000,20.000000,1.637560,1.715768,1.637560,574.693427,0.009021,0.008567,0.009021,0.034315,1.796375e+03,1.796375e+03,4.691934e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,16,200,106,61,1.000000,0.530000,0.305000,0.083718,200,2.000000,20.000000,20.000000,2.099846,2.201038,2.099846,847.177026,0.006348,0.006055,0.006348,0.034318,2.848547e+03,2.848547e+03,4.717407e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,18,200,178,143,1.000000,0.890000,0.715000,0.056586,200,2.000000,20.000000,20.000000,2.812594,2.946938,2.812594,1212.419045,0.004499,0.004281,0.004499,0.034314,4.511653e+03,4.511653e+03,4.707738e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,20,200,198,192,1.000000,0.990000,0.960000,0.037769,200,2.000000,20.000000,20.000000,3.964689,4.154571,3.964689,1660.008270,0.003339,0.003180,0.003339,0.034309,7.135651e+03,7.135651e+03,4.710838e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,22,200,200,200,1.000000,1.000000,1.000000,0.027196,200,2.000000,20.000000,20.000000,5.775174,6.058731,5.775174,2167.731900,0.002603,0.002494,0.002603,0.034309,1.137175e+04,1.137175e+04,4.691789e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,24,200,200,199,1.000000,1.000000,0.995000,0.021047,200,2.000000,20.000000,20.000000,8.643144,9.055492,8.643144,2687.508018,0.001984,0.001895,0.001984,0.034307,1.793819e+04,1.793819e+04,4.725197e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.015965,200,2.000000,20.000000,20.000000,13.250688,13.881364,13.250688,3158.977916,0.001551,0.001486,0.001551,0.034307,2.849456e+04,2.849456e+04,4.722933e-17
proto6_array_root_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013517,200,2.000000,20.000000,20.000000,20.456190,21.441431,20.456190,3559.844507,0.001218,0.001168,0.001218,0.034307,4.512452e+04,4.512452e+04,4.716157e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,14,200,0,0,1.000000,0.000000,0.000000,0.153012,200,2.000000,22.000000,22.000000,1.366693,1.430942,1.366693,600.243501,0.012645,0.011873,0.012645,0.000000,1.796097e+03,1.796097e+03,4.675205e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,16,200,29,2,1.000000,0.145000,0.010000,0.112748,200,2.000000,22.000000,22.000000,1.662516,1.743231,1.662516,906.837724,0.008577,0.008101,0.008577,0.000000,2.843748e+03,2.843748e+03,4.682613e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,18,200,112,40,1.000000,0.560000,0.200000,0.084467,200,2.000000,22.000000,22.000000,2.129322,2.230410,2.129322,1336.107419,0.005999,0.005674,0.005999,0.000000,4.499214e+03,4.499214e+03,4.661761e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,20,200,176,119,1.000000,0.880000,0.595000,0.057030,200,2.000000,22.000000,22.000000,2.876867,3.013601,2.876867,1902.094324,0.004497,0.004292,0.004497,0.000000,7.148380e+03,7.148380e+03,4.690655e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,22,200,200,188,1.000000,1.000000,0.940000,0.035287,200,2.000000,22.000000,22.000000,4.076664,4.272505,4.076664,2597.512864,0.003231,0.003078,0.003231,0.000000,1.135371e+04,1.135371e+04,4.688662e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,24,200,200,199,1.000000,1.000000,0.995000,0.027425,200,2.000000,22.000000,22.000000,5.951788,6.237119,5.951788,3381.559451,0.002539,0.002427,0.002539,0.000000,1.799591e+04,1.799591e+04,4.683009e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.019622,200,2.000000,22.000000,22.000000,8.903019,9.337361,8.903019,4172.671194,0.001960,0.001875,0.001960,0.000000,2.842574e+04,2.842574e+04,4.676873e-17
proto6_array_root_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.015266,200,2.000000,22.000000,22.000000,13.611988,14.275991,13.611988,4901.070414,0.001570,0.001507,0.001570,0.000000,4.511711e+04,4.511711e+04,4.683769e-17
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,14,200,199,199,1.000000,0.995000,0.995000,0.045439,200,2.000000,14.000000,14.000000,3.023400,3.171920,3.023400,469.244262,0.004270,0.004068,0.004270,0.032002,1.797261e+03,1.797261e+03,4.768800e-17
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.032736,200,2.000000,14.000000,14.000000,4.318242,4.526972,4.318242,636.648116,0.003168,0.003018,0.003168,0.032004,2.854087e+03,2.854087e+03,4.786783e-17
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026555,200,2.000000,14.000000,14.000000,6.346379,6.654824,6.346379,819.739430,0.002425,0.002319,0.002425,0.032001,4.521808e+03,4.521808e+03,4.784852e-17
proto6_beamspace_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019221,200,2.000000,14.000000,14.000000,9.598771,10.064553,9.598771,1000.034715,0.001907,0.001827,0.001907,0.031998,7.150738e+03,7.150738e+03,4.767312e-17
