route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array_mean,root_dist_beam_mean
proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016977,200,2.000000,18.000000,18.000000,0.014719,0.105439,1.940837,0.087321,1.663574,1.262715,1.220624,1.767801,2.563311,13.520833,14.165605,0.001578,0.001514
proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.014195,200,2.000000,18.000000,18.000000,0.009112,0.089663,1.939271,0.070927,1.662233,1.262447,1.220365,1.767425,2.562766,20.909958,21.911205,0.001224,0.001173
proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.010080,200,2.000000,18.000000,18.000000,0.001980,0.075385,1.940347,0.056750,1.663155,1.262631,1.220543,1.767683,2.563141,32.577842,34.129025,0.000942,0.000904
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.815000,22.000000,22.000000,-0.923287,23.466408,2.368851,1.578362,2.284249,1.333211,1.288771,1.659107,2.405705,1.639351,1.717461,0.009050,0.008600
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,16,11,11,7,0.055000,0.055000,0.035000,0.052924,11,1.040000,22.000000,22.000000,-2.111048,11.324806,2.063943,0.350372,1.990231,1.322430,1.278349,1.645691,2.386251,2.098007,2.199231,0.006364,0.006068
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,18,92,88,76,0.460000,0.440000,0.380000,0.053964,92,1.460000,22.000000,22.000000,-0.163206,2.461154,1.988897,0.190836,1.917865,1.313363,1.269584,1.634407,2.369890,2.813067,2.947237,0.004498,0.004282
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,20,168,168,160,0.840000,0.840000,0.800000,0.043099,168,1.840000,22.000000,22.000000,0.012715,0.165862,1.953348,0.142058,1.883585,1.306717,1.263160,1.626137,2.357898,3.963295,4.153928,0.003353,0.003195
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,22,199,199,198,0.995000,0.995000,0.990000,0.031937,199,1.995000,22.000000,22.000000,0.010658,0.131234,1.938649,0.107261,1.869411,1.303882,1.260420,1.622609,2.352783,5.770739,6.054231,0.002590,0.002481
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,24,200,200,200,1.000000,1.000000,1.000000,0.022507,200,2.000000,22.000000,22.000000,0.002844,0.115995,1.941592,0.079817,1.872249,1.304450,1.260968,1.623315,2.353807,8.646798,9.059502,0.001989,0.001902
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.017078,200,2.000000,22.000000,22.000000,0.004869,0.087809,1.938401,0.069202,1.869173,1.303835,1.260373,1.622550,2.352697,13.254290,13.884338,0.001544,0.001479
