route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,0,0.880000,0.000000,0.000000,27.235403,NaN,NaN,0.049278,16.380958,1.072213,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,2,0.855000,0.000000,0.000000,31.266867,NaN,NaN,-1.329082,20.134480,1.069103,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,4,0.905000,0.000000,0.000000,27.668524,NaN,NaN,1.228308,17.862408,1.072920,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,6,0.860000,0.000000,0.000000,29.570641,NaN,NaN,-0.285781,17.713003,1.072111,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,8,0.880000,0.000000,0.000000,26.513224,NaN,NaN,-0.031652,15.848119,1.074740,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,10,0.835000,0.000000,0.000000,26.462177,NaN,NaN,-1.248112,16.466548,1.074776,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,12,0.885000,0.000000,0.000000,28.351312,NaN,NaN,0.269373,16.591199,1.073014,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,14,0.885000,0.000000,0.000000,26.087417,NaN,NaN,-0.129068,14.913268,1.074165,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,16,0.890000,0.000000,0.000000,23.186122,NaN,NaN,-0.973343,12.963388,1.080089,192,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,18,0.965000,0.000000,0.000000,16.234022,NaN,NaN,-0.371960,7.436726,1.103383,157,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,20,1.000000,0.000000,0.000000,2.722166,NaN,NaN,-0.055760,0.541747,1.185384,42,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,22,1.000000,0.000000,0.000000,0.341479,NaN,NaN,-0.014604,0.048536,1.336717,4,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,24,1.000000,0.000000,0.000000,0.224641,NaN,NaN,-0.020990,0.143537,1.598875,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,26,1.000000,0.005000,0.030000,0.189627,NaN,NaN,-0.011054,0.149109,2.005561,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,28,1.000000,0.030000,0.115000,0.157982,NaN,NaN,-0.012758,0.137516,2.650455,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,0.545000,-0.272500,0.272500,30,1.000000,0.170000,0.525000,0.120344,NaN,NaN,-0.012919,0.110476,3.685537,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,-4,1.000000,0.960000,1.000000,0.075863,-4.000000,-4.000000,-0.001295,0.076319,9.204576,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,-2,1.000000,1.000000,1.000000,0.074740,-4.000000,-4.000000,-0.000788,0.075103,14.117710,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,0,1.000000,1.000000,1.000000,0.074537,-4.000000,-4.000000,-0.000580,0.074775,21.885985,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,2,1.000000,1.000000,1.000000,0.074268,-4.000000,-4.000000,-0.000689,0.074807,34.206809,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,4,1.000000,1.000000,1.000000,0.074177,-4.000000,-4.000000,-0.000915,0.074991,53.659156,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,6,1.000000,1.000000,1.000000,0.074257,-4.000000,-4.000000,-0.000665,0.074854,84.628412,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,8,1.000000,1.000000,1.000000,0.074224,-4.000000,-4.000000,-0.000867,0.075051,133.422090,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,1,3.590000,-1.795000,1.795000,10,1.000000,1.000000,1.000000,0.074136,-4.000000,-4.000000,-0.000867,0.074972,211.018313,0,15.051500
