route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,snr_db,tol_success_rate_abs01,rmse_deg,snr90_db,mean_bias_deg,max_bias_deg,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,10,18,0.000000,22.047328,NaN,-0.960262,12.547847,197,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,10,18,0.000000,23.887481,NaN,-2.303886,14.946268,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,24,0.000000,0.224641,NaN,-0.020990,0.143537,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,10,24,0.000000,0.747486,NaN,-0.028471,0.118745,7,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,10,24,0.000000,14.707582,NaN,0.538627,6.584920,187,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,10,30,0.170000,0.120344,NaN,-0.012919,0.110476,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,10,30,0.000000,0.143336,NaN,-0.016013,0.141257,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,10,30,0.000000,0.125969,NaN,-0.028503,0.076878,0,15.051500
pure_ula_root_music_64ch_proto6_replay,64,56,NaN,NaN,NaN,7,24,1.000000,NaN,14.000000,NaN,NaN,0,NaN
pure_ula_root_music_64ch_proto6_replay,64,56,NaN,NaN,NaN,8,24,1.000000,NaN,16.000000,NaN,NaN,0,NaN
pure_ula_root_music_64ch_proto6_replay,64,56,NaN,NaN,NaN,9,24,1.000000,NaN,18.000000,NaN,NaN,0,NaN
pure_ula_root_music_64ch_proto6_replay,64,56,NaN,NaN,NaN,10,24,1.000000,NaN,20.000000,NaN,NaN,0,NaN
