route_name,phase_offset_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,num_peaks_found
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,8,1.000000,1.000000,1.000000,0.048852,-4.000000,-4.000000,0.001105,0.049858,213.710953,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,10,1.000000,1.000000,1.000000,0.048669,-4.000000,-4.000000,0.001252,0.049848,337.190375,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,12,1.000000,1.000000,1.000000,0.048648,-4.000000,-4.000000,0.001036,0.049640,533.484584,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,14,1.000000,1.000000,1.000000,0.048629,-4.000000,-4.000000,0.001093,0.049686,840.381837,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,16,1.000000,1.000000,1.000000,0.048718,-4.000000,-4.000000,0.000994,0.049687,1319.461306,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,18,1.000000,1.000000,1.000000,0.048682,-4.000000,-4.000000,0.001017,0.049680,2048.630848,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,20,1.000000,1.000000,1.000000,0.048687,-4.000000,-4.000000,0.001055,0.049725,3148.472447,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,22,1.000000,1.000000,1.000000,0.048654,-4.000000,-4.000000,0.001065,0.049703,4733.945076,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,24,1.000000,1.000000,1.000000,0.048671,-4.000000,-4.000000,0.001049,0.049707,6931.698069,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,26,1.000000,1.000000,1.000000,0.048667,-4.000000,-4.000000,0.001083,0.049737,9763.664530,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,28,1.000000,1.000000,1.000000,0.048657,-4.000000,-4.000000,0.001064,0.049708,13205.580794,0,2.000000
verify_coh_phase05_near_inphase,5,1,5.450000,-2.725000,2.725000,30,1.000000,1.000000,1.000000,0.048660,-4.000000,-4.000000,0.001037,0.049685,16925.019704,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,-4,1.000000,0.085000,1.000000,0.161345,4.000000,-4.000000,0.005311,0.080119,1.627962,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,-2,1.000000,0.390000,1.000000,0.100722,4.000000,-4.000000,0.012997,0.068060,2.066324,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,0,1.000000,0.710000,1.000000,0.070805,4.000000,-4.000000,0.003560,0.047623,2.755259,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,2,1.000000,0.865000,1.000000,0.056263,4.000000,-4.000000,0.005693,0.043711,3.859315,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,4,1.000000,0.945000,1.000000,0.048529,4.000000,-4.000000,0.005805,0.041097,5.590528,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,6,1.000000,1.000000,1.000000,0.038957,4.000000,-4.000000,0.004875,0.037691,8.366911,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,8,1.000000,1.000000,1.000000,0.037117,4.000000,-4.000000,0.007053,0.038977,12.718273,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,10,1.000000,1.000000,1.000000,0.034558,4.000000,-4.000000,0.004709,0.036431,19.660887,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,12,1.000000,1.000000,1.000000,0.032358,4.000000,-4.000000,0.005102,0.035751,30.633611,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,14,1.000000,1.000000,1.000000,0.031906,4.000000,-4.000000,0.005626,0.036232,47.943520,0,2.000000
verify_coh_phase05_near_inphase,5,2,2.725000,-1.362500,1.362500,16,1.000000,1.000000,1.000000,0.031479,4.000000,-4.000000,0.005372,0.035868,75.397308,0,2.000000
