sweep_phase,config_name,coarse_config_name,refine_config_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,coarse_el_sep_list_text,fine_el_sep_list_text,full_fine_success,coarse_to_fine_success,full_fine_rmse,coarse_to_fine_rmse,full_fine_worst_case_success,coarse_to_fine_worst_case_success,full_fine_mean_num_pairs,coarse_to_fine_mean_num_pairs,coarse_mean_num_pairs,refine_mean_num_pairs,complexity_reduction_ratio,topK_miss_rate,boundary_hit_rate,el_sep_match_rate_vs_full,full_grid_match_rate,screening_score,screening_pass,final_pass,selected_for_confirmation
screening,coarse_016_024_minsep__topK5__refine_mid_finer,coarse_016_024_minsep,refine_mid_finer,5,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,40556.8,7353,33203.8,3.24140464730945,0.4,0,0.6,0,0.65107332504472,0,0,0
screening,coarse_016_024_minsep__topK5__refine_safe_compact,coarse_016_024_minsep,refine_safe_compact,5,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,16455.6666666667,7353,9102.66666666667,7.98879818502238,0.4,0,0.6,0.6,0.690248145004354,0,0,0
screening,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,5,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,21577.1333333333,7353,14224.1333333333,6.09260729723133,0,0,1,1,1.07848031863073,1,0,1
screening,coarse_016_024_minsep__topK5__refine_small_compact,coarse_016_024_minsep,refine_small_compact,5,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,9536.53333333333,7353,2183.53333333333,13.7849882556904,0.4,0,0.6,0.6,0.713940640043882,0,0,0
screening,coarse_016_024_minsep__topK5__refine_stage1_safe,coarse_016_024_minsep,refine_stage1_safe,5,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,106834.6,7353,99481.6,1.23050959146194,0,0,0.6,0,1.00900850032503,0,0,0
screening,coarse_016_024_minsep__topK7__refine_mid_compact,coarse_016_024_minsep,refine_mid_compact,7,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,12734.1333333333,7353,5381.13333333333,10.3235137059452,0.4,0,0.6,0.6,0.701382753870419,0,0,0
screening,coarse_016_024_minsep__topK7__refine_mid_finer,coarse_016_024_minsep,refine_mid_finer,7,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,43403.4666666667,7353,36050.4666666667,3.02881336667424,0.4,0,0.6,0,0.648127251324018,0,0,0
screening,coarse_016_024_minsep__topK7__refine_safe_compact,coarse_016_024_minsep,refine_safe_compact,7,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,17033.9333333333,7353,9680.93333333333,7.71759507492887,0.4,0,0.6,0.6,0.688748198836633,0,0,0
screening,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,7,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,22478.0666666667,7353,15125.0666666667,5.84841222999606,0,0,1,1,1.07670379766213,1,0,1
screening,coarse_016_024_minsep__topK7__refine_small_compact,coarse_016_024_minsep,refine_small_compact,7,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,9772.66666666667,7353,2419.66666666667,13.451906678491,0.4,0,0.6,0.6,0.712878384577039,0,0,0
screening,coarse_016_024_minsep__topK7__refine_stage1_safe,coarse_016_024_minsep,refine_stage1_safe,7,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,113497.8,7353,106144.8,1.15826914706717,0,0,0.6,0,1.00638094881516,0,0,0
screening,coarse_020_030_compact__topK10__refine_mid_compact,coarse_020_030_compact,refine_mid_compact,10,0.2,0.3,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,17524.9333333333,5640,11884.9333333333,7.50136947739221,0.4,0,0.6,0,0.68751405570158,0,0,0
screening,coarse_020_030_compact__topK10__refine_mid_finer,coarse_020_030_compact,refine_mid_finer,10,0.2,0.3,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,43426.8,5640,37786.8,3.02718597732276,0.4,0,0.6,0,0.648103910296646,0,0,0
screening,coarse_020_030_compact__topK10__refine_safe_compact,coarse_020_030_compact,refine_safe_compact,10,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,29739.5333333333,5640,24099.5333333333,4.42041233554438,0.4,0,0.6,0,0.664546278217699,0,0,0
screening,coarse_020_030_compact__topK10__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,10,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,43559,5640,37919,3.01799857664317,0,0,0.6,0,1.04797190306165,1,0,0
