trial_global_id,trial_id,seed,method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,raw_success,az_tol_success,el_pair_tol_success,joint_pair_tol_success,az_rmse_deg,el_rmse_deg,az_center_error_deg,az_sep_error_deg,el_center_error_deg,el_sep_error_deg,abs_el_sep_error_deg,estimated_el_sep_deg,true_el_sep_deg,false_el_split,boundary_hit,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,max_score,num_pairs,tie_count,truth_manifold_corr,N_elem,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max
759,9,20861632,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0559891974332111,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,202235.233582517,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
760,10,20861633,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0448000915730541,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,205881.500359548,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
761,11,20861634,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.134769174305369,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,199872.822800404,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
762,12,20861635,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0873488501617889,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,207436.893804416,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
763,13,20861636,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0727155076600929,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,204060.235365704,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
764,14,20861637,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0593038609128831,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,206433.178706319,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
765,15,20861638,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.112570386868983,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,205229.542478267,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
766,16,20861639,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.00271637664217486,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,204172.119480461,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
767,17,20861640,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.018859052229869,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,204603.702219609,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
768,18,20861641,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0236199199027964,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,204842.01310776,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
769,19,20861642,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.140889678409554,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,203995.106171831,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
770,20,20861643,greedy_lowcorr_B25,greedy_lowcorr,25,25,easy_noncoherent,0,0,1,1.27,0.67,30,0.0541208889705523,7.38,8.66,10.12,10.6,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.10735455276792,0.0199999999999996,0.0100000000000007,0.0499999999999989,-0.190000000000001,0.190000000000001,0.48,0.670000000000002,0,0,0.388797249637357,0.237616497335062,0.275997786060456,4365.51951979457,1.64280761671274,202313.276132844,65379,1,0.188276782729891,2080,64,2,1,6.5,9.5,8.8,11.2
