route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019964,200,2.000000,16.000000,-0.005547,0.244973,2.000424,0.205184,2.393480,3.590220
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014424,200,2.000000,16.000000,-0.004581,0.185036,1.982102,0.146880,2.378522,3.567784
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011813,200,2.000000,16.000000,-0.014282,0.140987,1.956794,0.108044,2.348153,3.522229
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.009142,200,2.000000,16.000000,-0.005128,0.123495,1.953778,0.092037,2.344534,3.516801
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007340,200,2.000000,16.000000,-0.000390,0.092529,1.961736,0.070857,2.354083,3.531125
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006379,200,2.000000,16.000000,0.000960,0.070720,1.947495,0.058096,2.336995,3.505492
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,14,113,102,0.565000,0.510000,1.486973,113,1.475000,16.000000,-3.959281,24.380142,2.300352,1.145461,2.361035,3.541552
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,16,180,180,0.900000,0.900000,0.037555,180,1.865000,16.000000,-2.533107,13.630015,2.121250,0.565706,2.373146,3.559720
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,18,198,198,0.990000,0.990000,0.026427,198,1.990000,16.000000,-0.587770,6.312961,2.009786,0.307366,2.355875,3.533812
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.021027,200,2.000000,16.000000,-0.015956,0.176336,2.004090,0.169249,2.374905,3.562357
