trial_id,scenario_name,snr_db,mc,target_source,double_route,quant_route,double_confidence,quant_confidence,route_flip_type,first_divergent_stage,first_divergent_metric,double_metric_value,quant_metric_value,threshold_value,double_distance_to_threshold,quant_distance_to_threshold,threshold_crossed_flag,near_threshold_double_flag,near_threshold_quant_flag,metric_scale_ratio,az_est_diff_vs_double,el_est_diff_vs_double,output_equivalent,boundary_score_if_any,rank1_score_gap_ratio,rank1_residual_norm,refocus_power_sharpness,stage_refocus_margin_rel,refocus_rank1_score_gap_ratio,refocus_rank1_residual_norm,refocus_rank1_pair_sep_est,refocus_common_el_sharpness
21,single_target_sanity,8,21,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.0153922277643808,833728132.828578,0,0.0787686217788495,0.0787686217788495,833728132.828578,0,0.2,0.0787686217788495
39,single_target_sanity,16,9,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.00624888612974009,208815575.341324,0,0.0795000891096208,0.0795000891096208,208815575.341324,0,0.2,0.0795000891096208
130,close_coherent_pair,8,10,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.0181310274041909,207590094.187688,0,0.0785495178076647,0.0785495178076647,207590094.187688,0,0.2,0.0785495178076647
138,close_coherent_pair,8,18,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.0143954145538869,0.0379076484681812,6.70199431621489e-07,0.078848366835689,0.078848366835689,0.0379076484681812,6.70199431621489e-07,0.16,0.078848366835689
996,weak_target_boundary,16,6,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,output_only,az_est_diff_vs_double,0,0.0599999999999998,0.05,1,0.199999999999997,1,0,0,NaN,0.0599999999999998,0,0,0.0090836437383307,0.0414287032534519,2.21940338933988e-06,0.0792733085009335,0.0792733085009335,0.0414287032534519,2.21940338933988e-06,0.36,0.0792733085009335
17,single_target_sanity,8,17,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,none,,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0.04,0,1,0.0145552579164316,23328449.4204973,0,0.0788355793666855,0.0788355793666855,23328449.4204973,0,0.16,0.0788355793666855
18,single_target_sanity,8,18,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,none,,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0.04,0,1,0.0187963399367828,175800054.743895,0,0.0784962928050574,0.0784962928050574,175800054.743895,0,0.0800000000000001,0.0784962928050574
23,single_target_sanity,8,23,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,none,,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0.04,0,1,0.013589330051364,0.26226914804763,6.91159041573762e-07,0.0789128535958909,0.0789128535958909,0.26226914804763,6.91159041573762e-07,0.0800000000000001,0.0784937253968886
58,single_target_sanity,16,28,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,none,,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0.04,0,1,0.00611091136075419,0.290990078571133,2.08826944064148e-07,0.0795111270911397,0.0795111270911397,0.290990078571133,2.08826944064148e-07,0.2,0.0794433133480228
140,close_coherent_pair,8,20,step89c_worst80,level2_rank1_fallback,level2_rank1_fallback,medium,medium,level2_rank1_fallback->level2_rank1_fallback,none,,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,0.04,0,1,0.009471512454233,0.306910135076034,1.53788759855208e-07,0.0792422790036614,0.0792422790036614,0.306910135076034,1.53788759855208e-07,0.32,0.0792422790036614
