route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,24,1.000000,1.000000,1.000000,0.028337,12.000000,2.000000,-0.013507,0.037615,0,2.000000,94.190849
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,26,1.000000,1.000000,1.000000,0.028171,12.000000,2.000000,-0.014009,0.037914,0,2.000000,148.568773
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,28,1.000000,1.000000,1.000000,0.027730,12.000000,2.000000,-0.013601,0.037501,0,2.000000,234.653117
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,30,1.000000,1.000000,1.000000,0.027598,12.000000,2.000000,-0.013707,0.037501,0,2.000000,369.657412
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,-4,0.880000,0.000000,0.000000,25.044289,22.000000,14.000000,0.101226,14.558016,200,1.760000,1.071995
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,-2,0.865000,0.000000,0.000000,26.633601,22.000000,14.000000,0.649374,16.012088,200,1.730000,1.072371
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,0,0.885000,0.000000,0.000000,26.709298,22.000000,14.000000,0.268573,15.295994,199,1.770000,1.071981
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,2,0.870000,0.000000,0.000000,25.626582,22.000000,14.000000,-0.196996,14.130229,194,1.740000,1.075041
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,4,0.925000,0.000000,0.000000,23.263125,22.000000,14.000000,0.647726,12.416431,187,1.850000,1.078890
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,6,0.925000,0.000000,0.000000,15.610784,22.000000,14.000000,-1.074186,6.823635,133,1.850000,1.106039
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,8,1.000000,0.000000,0.000000,3.906761,22.000000,14.000000,-0.005482,0.259291,14,2.000000,1.200124
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,10,1.000000,0.000000,0.050000,0.369069,22.000000,14.000000,-0.012786,0.258130,0,2.000000,1.349879
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,12,1.000000,0.010000,0.355000,0.267191,22.000000,14.000000,-0.017035,0.195618,0,2.000000,1.608790
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,14,1.000000,0.075000,0.900000,0.155741,22.000000,14.000000,-0.018804,0.123524,0,2.000000,2.040300
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,16,1.000000,0.300000,1.000000,0.101772,22.000000,14.000000,-0.014861,0.084052,0,2.000000,2.710935
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,18,1.000000,0.685000,1.000000,0.071214,22.000000,14.000000,-0.020606,0.068947,0,2.000000,3.777464
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,20,1.000000,0.890000,1.000000,0.055659,22.000000,14.000000,-0.018077,0.055838,0,2.000000,5.473054
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,22,1.000000,0.980000,1.000000,0.042903,22.000000,14.000000,-0.013512,0.044479,0,2.000000,8.138744
