double_route,quant_mode,trial_count,in_scope_trial_count,eval_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,success_gap_vs_double,false_high_rate,boundary_missed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,mean_abs_el_diff,changed_route_count,changed_confidence_count,dominant_changed_from_route,dominant_changed_to_route,dominant_failure_hypothesis,mean_ywork_snr_quant_db,mean_steering_rel_err_aligned
common_el_refocus_power_rank1,combined_int16,205,205,205,0.946341463414634,0.946341463414634,0.941463414634146,0.88780487804878,0.951219512195122,-0.0390243902439024,0,0,0.82,0.0259512195121951,0.00323061250853341,4.9445997206502e-05,11,11,common_el_refocus_power_rank1,boundary_unreliable,rank1_objective_flat,93.1972984054556,0.000157891847008353
common_el_refocus_power_rank1,combined_int18,205,205,205,0.941463414634146,0.941463414634146,0.921951219512195,0.892682926829268,0.941463414634146,-0.0292682926829268,0,0,0.82,0.0287804878048781,0.00463981351584769,6.91660292500321e-05,12,12,common_el_refocus_power_rank1,boundary_unreliable,rank1_objective_flat,105.239890030711,3.93139320165931e-05
common_el_refocus_power_rank1,combined_int24,205,205,205,0.970731707317073,0.970731707317073,0.965853658536585,0.965853658536585,0.975609756097561,-0.00975609756097556,0,0,0.64,0.00848780487804878,0.00343633796140215,2.75911474021434e-05,6,6,common_el_refocus_power_rank1,boundary_unreliable,rank1_objective_flat,141.363149398023,6.16011433816925e-07
level2_music_or_center_real,double_baseline,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
level2_music_or_center_real,float32_all,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,152.176165502283,2.74648417956103e-08
level2_music_or_center_real,coeff_int16_only,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0.000157891847008353
level2_music_or_center_real,ywork_int16_only,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,94.9616412720261,0
level2_music_or_center_real,combined_int16,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,94.9616412720261,0.000157891847008353
level2_music_or_center_real,combined_int18,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,106.995439469386,3.93139320165931e-05
level2_music_or_center_real,combined_int24,3,3,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,143.127269725153,6.16011433816925e-07
two_coarse_peaks_out_of_scope,double_baseline,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,NaN
two_coarse_peaks_out_of_scope,float32_all,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,151.948668243607,NaN
two_coarse_peaks_out_of_scope,coeff_int16_only,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,NaN
two_coarse_peaks_out_of_scope,ywork_int16_only,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,91.0642818093286,NaN
two_coarse_peaks_out_of_scope,combined_int16,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,91.0642818093286,NaN
two_coarse_peaks_out_of_scope,combined_int18,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,103.104739651609,NaN
two_coarse_peaks_out_of_scope,combined_int24,120,0,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,139.226864903372,NaN
pair_el_local_covfit,double_baseline,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
pair_el_local_covfit,float32_all,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,152.116485334908,2.74648417956103e-08
pair_el_local_covfit,coeff_int16_only,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0.000157891847008353
pair_el_local_covfit,ywork_int16_only,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,92.1642064879026,0
pair_el_local_covfit,combined_int16,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,92.1642064879026,0.000157891847008353
pair_el_local_covfit,combined_int18,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,104.205591022515,3.93139320165931e-05
pair_el_local_covfit,combined_int24,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,140.327319451115,6.16011433816925e-07
