route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,0,179,0,0,0.895000,0.000000,0.000000,25.731386,179,1.790000,NaN,30.000000,0.769548,15.677251,-14.683155,16.222251,1.071916,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,2,181,0,0,0.905000,0.000000,0.000000,26.404316,181,1.810000,NaN,30.000000,1.016130,16.696833,-15.209573,17.241833,1.073847,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,4,169,0,0,0.845000,0.000000,0.000000,29.408577,169,1.690000,NaN,30.000000,0.374029,17.719341,-17.516284,18.264341,1.072752,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,6,175,0,0,0.875000,0.000000,0.000000,27.946249,175,1.750000,NaN,30.000000,0.645030,17.237013,-16.491954,17.782013,1.072278,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,8,167,0,0,0.835000,0.000000,0.000000,27.503031,167,1.670000,NaN,30.000000,-0.538147,16.174218,-16.719218,15.642924,1.074542,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,10,175,0,0,0.875000,0.000000,0.000000,29.291196,175,1.750000,NaN,30.000000,4.131153,22.002286,-14.284979,22.547286,1.074363,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,12,169,0,0,0.845000,0.000000,0.000000,27.252351,169,1.690000,NaN,30.000000,2.534207,18.546837,-14.023423,19.091837,1.070916,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,14,171,0,0,0.855000,0.000000,0.000000,30.338067,171,1.710000,NaN,30.000000,-1.046631,18.896262,-19.441262,17.348000,1.071692,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,16,172,0,0,0.860000,0.000000,0.000000,29.032657,172,1.720000,NaN,30.000000,-1.367862,18.097892,-18.642892,15.907168,1.073108,200,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,18,185,0,0,0.925000,0.000000,0.000000,26.893450,185,1.850000,NaN,30.000000,2.185455,16.880871,-13.054961,17.425871,1.076742,199,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,20,184,0,0,0.920000,0.000000,0.000000,18.895549,184,1.840000,NaN,30.000000,-0.847181,9.429780,-9.974780,8.280419,1.087376,179,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,22,196,0,0,0.980000,0.000000,0.000000,9.794617,196,1.960000,NaN,30.000000,0.129488,2.581573,-2.867598,3.126573,1.140542,72,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,24,200,0,1,1.000000,0.000000,0.005000,0.446108,200,2.000000,NaN,30.000000,0.036751,0.231136,-0.313864,0.387365,1.260032,7,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,26,200,0,25,1.000000,0.000000,0.125000,0.335769,200,2.000000,NaN,30.000000,-0.025818,0.249880,-0.346756,0.295120,1.456372,1,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,28,200,1,127,1.000000,0.005000,0.635000,0.207043,200,2.000000,NaN,30.000000,-0.024009,0.161773,-0.431245,0.383227,1.793803,0,0.000000
cylindrical_singlelayer_proto10_baseline,5,1.090000,-0.545000,0.545000,30,200,30,198,1.000000,0.150000,0.990000,0.123949,200,2.000000,NaN,30.000000,-0.007799,0.092931,-0.467667,0.452069,2.311717,0,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,-4,170,0,0,0.850000,0.000000,0.000000,30.984794,170,1.700000,NaN,NaN,-0.913255,19.732604,-20.121890,18.295380,1.070696,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,-2,171,0,0,0.855000,0.000000,0.000000,26.331352,171,1.710000,NaN,NaN,-2.417985,17.741695,-18.130981,13.295010,1.071446,200,0.000000
