route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count
cylindrical_root_music_proto10,5,30,1.000000,0.155000,0.980000,0.125464,2.000000,-0.014934,0.098205,-0.476662,0.446795,0
pure_ula_root_music_reference,5,30,1.000000,1.000000,1.000000,0.007899,2.000000,-0.000503,0.000739,-0.545739,0.544733,0
cylindrical_grid_music_baseline,7,-4,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,7,-4,0.880000,0.000000,0.000000,27.965759,1.760000,1.602094,18.091479,-15.276575,18.480764,200
pure_ula_root_music_reference,7,-4,0.895000,0.000000,0.000000,27.528309,1.790000,1.187722,17.299301,-15.313143,17.688587,200
cylindrical_grid_music_baseline,7,20,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,7,20,0.875000,0.000000,0.000000,27.926257,1.750000,0.373246,17.394210,-17.037004,17.783495,200
pure_ula_root_music_reference,7,20,1.000000,0.915000,1.000000,0.054328,2.000000,0.006162,0.015877,-0.373409,0.385734,0
cylindrical_grid_music_baseline,7,24,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,7,24,0.905000,0.000000,0.000000,24.849894,1.810000,-1.095191,14.818866,-15.208152,13.017771,197
pure_ula_root_music_reference,7,24,1.000000,1.000000,1.000000,0.029362,2.000000,0.001347,0.003789,-0.385497,0.388190,0
cylindrical_grid_music_baseline,7,30,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,7,30,1.000000,0.000000,0.000000,0.585481,2.000000,0.017760,0.106878,-0.282408,0.317928,11
pure_ula_root_music_reference,7,30,1.000000,1.000000,1.000000,0.013556,2.000000,0.001145,0.001608,-0.387678,0.389969,0
cylindrical_grid_music_baseline,10,-4,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,10,-4,0.850000,0.000000,0.000000,27.752397,1.700000,-1.905561,18.084235,-18.356735,14.545612,200
pure_ula_root_music_reference,10,-4,0.855000,0.000000,0.000000,27.624706,1.710000,-1.910384,18.007888,-18.280388,14.459619,200
cylindrical_grid_music_baseline,10,24,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,10,24,0.880000,0.000000,0.000000,26.669957,1.760000,-0.682640,16.601160,-16.873660,15.508379,200
pure_ula_root_music_reference,10,24,1.000000,0.620000,0.875000,0.082507,2.000000,-0.002257,0.026228,-0.250787,0.246272,0
cylindrical_grid_music_baseline,10,28,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,10,28,0.910000,0.000000,0.000000,26.421888,1.820000,0.846486,16.154879,-14.734408,16.427379,200
pure_ula_root_music_reference,10,28,1.000000,0.985000,0.995000,0.041630,2.000000,-0.003222,0.011354,-0.267590,0.261146,0
cylindrical_grid_music_baseline,10,30,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,10,30,0.890000,0.000000,0.000000,25.285135,1.780000,1.563328,15.862907,-13.008750,16.135407,197
pure_ula_root_music_reference,10,30,1.000000,1.000000,1.000000,0.030690,2.000000,0.000270,0.005605,-0.266895,0.267434,0
pure_ula_root_music_64ch_proto6_replay,7,14,1.000000,0.955000,0.955000,0.049629,2.000000,0.002364,0.020919,12.820919,13.183808,0
pure_ula_root_music_64ch_proto6_replay,7,24,1.000000,1.000000,1.000000,0.011527,2.000000,0.000697,0.001767,12.801767,13.199627,0
pure_ula_root_music_64ch_proto6_replay,7,28,1.000000,1.000000,1.000000,0.007037,2.000000,0.000116,0.000671,12.800671,13.199561,0
pure_ula_root_music_64ch_proto6_replay,8,14,1.000000,0.570000,0.430000,0.086561,2.000000,0.001554,0.044230,12.869230,13.133878,0
pure_ula_root_music_64ch_proto6_replay,8,16,1.000000,0.940000,0.840000,0.052016,2.000000,-0.002610,0.025543,12.845323,13.149457,0
pure_ula_root_music_64ch_proto6_replay,8,24,1.000000,1.000000,1.000000,0.017177,2.000000,0.000916,0.003123,12.828123,13.173709,0
pure_ula_root_music_64ch_proto6_replay,8,28,1.000000,1.000000,1.000000,0.009763,2.000000,-0.000271,0.001379,12.825837,13.173621,0
pure_ula_root_music_64ch_proto6_replay,9,14,1.000000,0.095000,0.020000,0.119800,2.000000,0.000849,0.065755,12.910200,13.091498,0
pure_ula_root_music_64ch_proto6_replay,9,18,1.000000,0.910000,0.665000,0.056769,2.000000,0.001764,0.028926,12.873371,13.130157,0
pure_ula_root_music_64ch_proto6_replay,9,24,1.000000,1.000000,1.000000,0.020572,2.000000,-0.002063,0.007177,12.847495,13.148379,0
pure_ula_root_music_64ch_proto6_replay,9,28,1.000000,1.000000,1.000000,0.013618,2.000000,-0.000400,0.002270,12.845915,13.153285,0
pure_ula_root_music_64ch_proto6_replay,10,14,1.000000,0.000000,0.000000,0.155201,2.000000,0.000481,0.026169,12.886169,13.114793,0
pure_ula_root_music_64ch_proto6_replay,10,20,1.000000,0.915000,0.550000,0.057729,2.000000,0.002835,0.033030,12.893030,13.112640,0
pure_ula_root_music_64ch_proto6_replay,10,24,1.000000,1.000000,0.985000,0.029138,2.000000,-0.002119,0.010654,12.866416,13.129346,0
pure_ula_root_music_64ch_proto6_replay,10,28,1.000000,1.000000,1.000000,0.017255,2.000000,-0.000126,0.003233,12.862981,13.136767,0
