route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,28,200,195,200,1.000000,0.975000,1.000000,0.047315,200,2.000000,28.000000,18.000000,-0.013883,0.052867,-0.883233,0.855467,NaN,0
cylindrical_grid_music_baseline,3,1.816667,-0.908333,0.908333,30,200,199,200,1.000000,0.995000,1.000000,0.041278,200,2.000000,28.000000,18.000000,-0.011983,0.046967,-0.885333,0.861367,NaN,0
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,-4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,-2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,0,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,6,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,8,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,10,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,12,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,14,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,16,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,18,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,20,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,22,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,24,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,26,6,0,6,0.030000,0.000000,0.030000,0.172554,6,1.030000,NaN,NaN,-0.005000,0.165000,-0.390000,0.380000,NaN,194
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,28,72,1,64,0.360000,0.005000,0.320000,0.203330,72,1.360000,NaN,NaN,-0.005764,0.175972,-0.380556,0.369028,NaN,128
cylindrical_grid_music_baseline,5,1.090000,-0.545000,0.545000,30,165,10,161,0.825000,0.050000,0.805000,0.164188,165,1.825000,NaN,NaN,-0.007000,0.148152,-0.410848,0.396848,NaN,35
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,-4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,-2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
