experiment_stage,route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count_abs01,tol_success_count_rel025,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,lambda2_over_noise_mean,degraded_count,degraded_rate,snr90_abs01,snr90_rel025
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,10,0.263775445,-0.131887722,0.131887722,24,100,0,0,1.000000000,0.000000000,0.000000000,0.132027093,100,2.000000000,1.513793847,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,10,0.263775445,-0.131887722,0.131887722,28,100,0,0,1.000000000,0.000000000,0.000000000,0.106940441,100,2.000000000,2.493365050,0,0.000000000,NaN,NaN
kphi_scan,level2_ula_root_music_65col_baseline,56,10,103.125000000,10,0.263775445,-0.131887722,0.131887722,30,100,0,0,1.000000000,0.000000000,0.000000000,0.110874337,100,2.000000000,3.430767144,0,0.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,24,94,91,89,0.940000000,0.910000000,0.890000000,0.069222753,94,1.940000000,6.170993300,6,0.060000000,24.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,28,100,100,100,1.000000000,1.000000000,1.000000000,0.066399170,100,2.000000000,13.964069810,0,0.000000000,24.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,7,0.376822064,-0.188411032,0.188411032,30,100,100,99,1.000000000,1.000000000,0.990000000,0.066544748,100,2.000000000,21.446684510,0,0.000000000,24.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,24,7,7,2,0.070000000,0.070000000,0.020000000,0.065525040,7,1.070000000,2.193703779,93,0.930000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,28,12,12,7,0.120000000,0.120000000,0.070000000,0.058891969,12,1.120000000,4.080297903,88,0.880000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,24,42,43.125000000,10,0.263775445,-0.131887722,0.131887722,30,31,31,17,0.310000000,0.310000000,0.170000000,0.068008016,31,1.310000000,5.898036193,69,0.690000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,24,89,83,77,0.890000000,0.830000000,0.770000000,0.079359045,89,1.890000000,7.826740194,11,0.110000000,28.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,28,99,95,90,0.990000000,0.950000000,0.900000000,0.079556867,99,1.990000000,18.031259313,1,0.010000000,28.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,7,0.376822064,-0.188411032,0.188411032,30,99,99,97,0.990000000,0.990000000,0.970000000,0.078542501,99,1.990000000,27.741032131,1,0.010000000,28.000000000,28.000000000
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,24,8,8,5,0.080000000,0.080000000,0.050000000,0.062906781,8,1.080000000,2.580688674,92,0.920000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,28,1,1,0,0.010000000,0.010000000,0.000000000,0.069549812,1,1.010000000,5.069156967,99,0.990000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,28,38,50.625000000,10,0.263775445,-0.131887722,0.131887722,30,1,1,0,0.010000000,0.010000000,0.000000000,0.094533864,1,1.010000000,7.455811400,99,0.990000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,24,44,26,22,0.440000000,0.260000000,0.220000000,0.094136770,44,1.440000000,9.155516293,56,0.560000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,28,67,38,31,0.670000000,0.380000000,0.310000000,0.096547387,67,1.670000000,21.294327911,33,0.330000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,7,0.376822064,-0.188411032,0.188411032,30,71,33,26,0.710000000,0.330000000,0.260000000,0.099475017,71,1.710000000,32.766461654,29,0.290000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,24,4,4,2,0.040000000,0.040000000,0.020000000,0.055945621,4,1.040000000,2.893708787,96,0.960000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,5.860828827,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,32,34,58.125000000,10,0.263775445,-0.131887722,0.131887722,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,8.708486694,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,24,2,0,0,0.020000000,0.000000000,0.000000000,0.120442119,2,1.020000000,9.911874412,98,0.980000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,28,3,0,0,0.030000000,0.000000000,0.000000000,0.137776614,3,1.030000000,23.203163317,97,0.970000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,7,0.376822064,-0.188411032,0.188411032,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,35.810592834,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,3.054712852,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,6.309450234,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,40,26,73.125000000,10,0.263775445,-0.131887722,0.131887722,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,9.425828284,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.598692321,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,17.653902865,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,7,0.376822064,-0.188411032,0.188411032,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,27.369015553,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,2.489551093,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,28,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,4.912506588,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,48,18,88.125000000,10,0.263775445,-0.131887722,0.131887722,30,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,7.237281950,100,1.000000000,NaN,NaN
kphi_scan,level2_center_real_grid_music,56,10,103.125000000,7,0.376822064,-0.188411032,0.188411032,24,0,0,0,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,3.583001263,100,1.000000000,NaN,NaN
