route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,root_dist_array_mean,root_dist_beam_mean,lambda2_over_noise_pre_tp,lambda2_over_noise_post_tp,toeplitz_residual_norm
1.019499e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009543,200,2.000000,18.000000,18.000000,-0.001069,0.091141,1.937243,0.069607,1.452932,1.220551,1.179866,1.952881,2.831678,35.598233,0.000936,0.006706,35.598233,171.421368
1.018951e-02,proto4e_fft_piecewise_grid_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.008415,200,2.000000,18.000000,18.000000,0.000451,0.070622,1.939976,0.053581,1.454982,1.220996,1.180297,1.953594,2.832712,56.034755,0.000737,0.006681,56.034755,299.410838
1.016645e-02,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,14,30,27,25,0.150000,0.135000,0.125000,0.061699,30,1.025000,18.000000,18.000000,-3.590133,19.628484,2.273368,0.690103,1.948601,1.303299,1.259856,1.824619,2.645697,2.117458,0.006093,0.007465,2.117458,7.557193
8.587005e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,16,115,107,98,0.575000,0.535000,0.490000,0.056035,115,1.535000,18.000000,18.000000,-1.228579,12.914779,2.124488,0.647965,1.820990,1.282807,1.240047,1.795930,2.604099,2.838906,0.004440,0.007381,2.838906,11.475043
8.321087e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,18,186,186,182,0.930000,0.930000,0.910000,0.041183,186,1.930000,18.000000,18.000000,-0.012872,0.213651,2.007538,0.217378,1.720747,1.274042,1.231574,1.783659,2.586306,4.016547,0.003360,0.007268,4.016547,17.826474
8.142684e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,20,200,200,200,1.000000,1.000000,1.000000,0.029013,200,2.000000,18.000000,18.000000,-0.003380,0.201447,1.981707,0.165487,1.698606,1.269341,1.227030,1.777078,2.576763,5.887778,0.002521,0.007278,5.887778,28.176444
8.082484e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,22,200,200,200,1.000000,1.000000,1.000000,0.021306,200,2.000000,18.000000,18.000000,-0.012251,0.130908,1.954639,0.100080,1.675405,1.265081,1.222912,1.771113,2.568114,8.846514,0.001998,0.007124,8.846514,45.095902
8.040923e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,24,200,200,200,1.000000,1.000000,1.000000,0.016983,200,2.000000,18.000000,18.000000,0.014209,0.105550,1.940917,0.087314,1.663643,1.262729,1.220638,1.767820,2.563339,13.519733,0.001578,0.007157,13.519733,73.101112
8.009189e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,26,200,200,200,1.000000,1.000000,1.000000,0.014134,200,2.000000,18.000000,18.000000,0.010131,0.090418,1.939767,0.070809,1.662658,1.262532,1.220447,1.767544,2.562939,20.913586,0.001224,0.007170,20.913586,120.615297
7.963903e-03,proto4e_fft_piecewise_grid_music,8,0.350000,12.825000,13.175000,28,200,200,200,1.000000,1.000000,1.000000,0.010101,200,2.000000,18.000000,18.000000,0.001810,0.075408,1.939878,0.057037,1.662753,1.262551,1.220466,1.767571,2.562978,32.577911,0.000942,0.007109,32.577911,205.149864
7.965910e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.820000,22.000000,22.000000,-0.713370,23.290532,2.368740,1.578352,2.284142,1.333190,1.288750,1.659080,2.405666,1.637256,0.009043,0.008003,1.637256,5.831020
6.930307e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,16,11,11,7,0.055000,0.055000,0.035000,0.052924,11,1.040000,22.000000,22.000000,-1.895149,10.952565,2.066900,0.350518,1.993082,1.323000,1.278900,1.646400,2.387280,2.097897,0.006364,0.007754,2.097897,9.072513
6.905663e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,18,92,88,76,0.460000,0.440000,0.380000,0.053964,92,1.460000,22.000000,22.000000,-0.163546,2.461131,1.989982,0.190191,1.918911,1.313572,1.269786,1.634667,2.370268,2.812638,0.004504,0.007530,2.812638,13.937366
6.719974e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,20,169,169,161,0.845000,0.845000,0.805000,0.043079,169,1.845000,22.000000,22.000000,0.012885,0.165736,1.953077,0.141943,1.883324,1.306665,1.263109,1.626072,2.357804,3.964795,0.003343,0.007569,3.964795,21.387894
6.482409e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,22,199,199,198,0.995000,0.995000,0.990000,0.031909,199,1.995000,22.000000,22.000000,0.009640,0.131772,1.940000,0.106154,1.870715,1.304143,1.260672,1.622933,2.353253,5.774294,0.002591,0.007501,5.774294,34.123548
6.465264e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,24,200,200,200,1.000000,1.000000,1.000000,0.022491,200,2.000000,22.000000,22.000000,0.003523,0.116224,1.941065,0.080394,1.871741,1.304348,1.260870,1.623189,2.353624,8.644421,0.001990,0.007521,8.644421,54.660888
6.393550e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.017098,200,2.000000,22.000000,22.000000,0.004020,0.087607,1.938175,0.069246,1.868955,1.303791,1.260331,1.622495,2.352618,13.252025,0.001544,0.007475,13.252025,89.941799
6.395383e-03,proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.014027,200,2.000000,22.000000,22.000000,-0.005149,0.067708,1.932265,0.053450,1.863256,1.302651,1.259229,1.621077,2.350562,20.455270,0.001219,0.007457,20.455270,150.405118
6.381722e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.815000,24.000000,24.000000,-2.024080,21.147512,2.189606,0.820697,2.346006,1.364882,1.319386,1.528668,2.216568,1.366375,0.012660,0.008518,1.366375,4.784724
5.979377e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.945000,24.000000,24.000000,-0.134525,12.692303,2.139587,0.772730,2.292415,1.360867,1.315505,1.524172,2.210049,1.661400,0.008573,0.008246,1.661400,7.171839
5.679439e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,18,6,5,5,0.030000,0.025000,0.025000,0.058223,6,1.030000,24.000000,24.000000,0.000688,0.361602,1.984788,0.194103,2.126558,1.354433,1.309285,1.516965,2.199599,2.127547,0.006002,0.007914,2.127547,11.005911
5.569069e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,20,62,62,52,0.310000,0.310000,0.260000,0.046143,62,1.305000,24.000000,24.000000,0.009157,0.174033,1.955683,0.126787,2.095375,1.349033,1.304065,1.510917,2.190829,2.876932,0.004492,0.007810,2.876932,17.116584
5.434426e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,22,147,147,142,0.735000,0.735000,0.710000,0.037475,147,1.735000,24.000000,24.000000,0.000319,0.153267,1.935035,0.104913,2.073252,1.344650,1.299829,1.506008,2.183712,4.079351,0.003227,0.007662,4.079351,27.164347
5.406835e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,24,191,191,191,0.955000,0.955000,0.955000,0.030971,191,1.955000,24.000000,24.000000,-0.007846,0.116337,1.942164,0.087172,2.080890,1.346178,1.301305,1.507719,2.186193,5.949359,0.002536,0.007720,5.949359,42.996351
5.277019e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022763,200,2.000000,24.000000,24.000000,0.006395,0.084077,1.942970,0.068265,2.081754,1.346351,1.301472,1.507913,2.186474,8.903572,0.001964,0.007748,8.903572,69.550189
5.245185e-03,proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016297,200,2.000000,24.000000,24.000000,-0.004470,0.068935,1.932890,0.055998,2.070953,1.344191,1.299384,1.505494,2.182966,13.616929,0.001564,0.007663,13.616929,115.833210
5.246200e-03,proto6_array_root_music,7,0.400000,12.800000,13.200000,14,200,199,199,1.000000,0.995000,0.995000,0.046358,200,2.000000,14.000000,14.000000,-2.898960,24.353150,2.301557,0.733353,1.726168,1.262087,1.220018,2.019340,2.928043,3.022733,0.004277,0.006737,3.022733,9.947375
1.055566e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.033190,200,2.000000,14.000000,14.000000,-1.915773,14.930052,2.149299,0.524678,1.611974,1.244563,1.203077,1.991300,2.887385,4.316900,0.003179,0.006752,4.316900,15.638069
1.054539e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026653,200,2.000000,14.000000,14.000000,-0.349113,4.358756,1.979881,0.210562,1.484910,1.224298,1.183488,1.958877,2.840371,6.346290,0.002428,0.006678,6.346290,24.443078
1.038771e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019252,200,2.000000,14.000000,14.000000,-0.004748,0.188028,1.975659,0.161659,1.481744,1.225095,1.184258,1.960151,2.842220,9.594657,0.001903,0.006665,9.594657,38.703488
1.026353e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.014915,200,2.000000,14.000000,14.000000,0.007268,0.139308,1.961941,0.119489,1.471456,1.223317,1.182539,1.957307,2.838095,14.685249,0.001443,0.006710,14.685249,62.377950
1.022242e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,24,200,200,200,1.000000,1.000000,1.000000,0.012361,200,2.000000,14.000000,14.000000,-0.013281,0.106083,1.955207,0.081686,1.466405,1.223204,1.182431,1.957127,2.837834,22.770779,0.001189,0.006649,22.770779,101.827301
1.019499e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,26,200,200,200,1.000000,1.000000,1.000000,0.009369,200,2.000000,14.000000,14.000000,-0.001069,0.091141,1.937243,0.069607,1.452932,1.220551,1.179866,1.952881,2.831678,35.598233,0.000936,0.006706,35.598233,171.421368
1.018951e-02,proto6_array_root_music,7,0.400000,12.800000,13.200000,28,200,200,200,1.000000,1.000000,1.000000,0.007434,200,2.000000,14.000000,14.000000,0.000451,0.070622,1.939976,0.053581,1.454982,1.220996,1.180297,1.953594,2.832712,56.034755,0.000737,0.006681,56.034755,299.410838
1.016645e-02,proto6_array_root_music,8,0.350000,12.825000,13.175000,14,200,121,98,1.000000,0.605000,0.490000,0.085537,200,2.000000,16.000000,18.000000,-3.590133,19.628484,2.273368,0.690103,1.948601,1.303299,1.259856,1.824619,2.645697,2.117458,0.006093,0.007465,2.117458,7.557193
8.587005e-03,proto6_array_root_music,8,0.350000,12.825000,13.175000,16,200,187,171,1.000000,0.935000,0.855000,0.053672,200,2.000000,16.000000,18.000000,-1.228579,12.914779,2.124488,0.647965,1.820990,1.282807,1.240047,1.795930,2.604099,2.838906,0.004440,0.007381,2.838906,11.475043
8.321087e-03,proto6_array_root_music,8,0.350000,12.825000,13.175000,18,200,198,196,1.000000,0.990000,0.980000,0.036201,200,2.000000,16.000000,18.000000,-0.012872,0.213651,2.007538,0.217378,1.720747,1.274042,1.231574,1.783659,2.586306,4.016547,0.003360,0.007268,4.016547,17.826474
8.142684e-03,proto6_array_root_music,8,0.350000,12.825000,13.175000,20,200,200,199,1.000000,1.000000,0.995000,0.026041,200,2.000000,16.000000,18.000000,-0.003380,0.201447,1.981707,0.165487,1.698606,1.269341,1.227030,1.777078,2.576763,5.887778,0.002521,0.007278,5.887778,28.176444
