route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4b,mean_piecewise_search_ratio,mean_piecewise_span_ratio,region_low_rate,region_mid_rate,region_high_rate,search_upper_clip_rate,span_upper_clip_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
fft_guided_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013211,200,2.000000,18.000000,-0.000392,0.086608,1.946591,0.064512,1.668506,1.263701,1.221578,0.000000,0.000000,1.000000,0.000000,0.000000,1.769182,2.565314
fft_guided_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010242,200,2.000000,18.000000,0.003844,0.064008,1.937558,0.053097,1.660764,1.262153,1.220081,0.000000,0.000000,1.000000,0.000000,0.000000,1.767014,2.562170
fft_guided_centerT,9,0.311111,12.844444,13.155556,14,1,0,0.005000,0.000000,0.116406,1,0.705000,22.000000,-5.711743,23.534106,2.372610,1.296607,2.287874,1.340412,1.295732,0.000000,0.005000,0.995000,0.170000,0.000000,1.668069,2.418699
fft_guided_centerT,9,0.311111,12.844444,13.155556,16,14,12,0.070000,0.060000,0.071250,14,1.010000,22.000000,-0.216650,8.770736,2.019098,0.405499,1.946988,1.313303,1.269526,0.000000,0.005000,0.995000,0.035000,0.000000,1.634332,2.369782
fft_guided_centerT,9,0.311111,12.844444,13.155556,18,69,68,0.345000,0.340000,0.050671,69,1.330000,22.000000,-0.384420,5.345267,1.980036,0.251324,1.909320,1.310170,1.266497,0.000000,0.000000,1.000000,0.010000,0.000000,1.630433,2.364128
fft_guided_centerT,9,0.311111,12.844444,13.155556,20,161,161,0.805000,0.805000,0.042258,161,1.805000,22.000000,-0.002890,0.176965,1.970669,0.138246,1.900288,1.310058,1.266389,0.000000,0.000000,1.000000,0.000000,0.000000,1.630294,2.363926
fft_guided_centerT,9,0.311111,12.844444,13.155556,22,194,194,0.970000,0.970000,0.031994,194,1.970000,22.000000,0.001495,0.133074,1.956592,0.124714,1.886714,1.307343,1.263765,0.000000,0.000000,1.000000,0.000000,0.000000,1.626915,2.359027
fft_guided_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022624,200,2.000000,22.000000,0.002671,0.108502,1.947478,0.085887,1.877925,1.305585,1.262066,0.000000,0.000000,1.000000,0.000000,0.000000,1.624728,2.355856
fft_guided_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017468,200,2.000000,22.000000,0.002492,0.085691,1.938915,0.061654,1.869668,1.303934,1.260469,0.000000,0.000000,1.000000,0.000000,0.000000,1.622673,2.352876
fft_guided_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.014046,200,2.000000,22.000000,0.005881,0.067538,1.939126,0.057063,1.869872,1.303974,1.260509,0.000000,0.000000,1.000000,0.000000,0.000000,1.622724,2.352949
fft_guided_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.705000,24.000000,-2.481443,19.420698,2.254013,0.885052,2.415013,1.372450,1.326701,0.000000,0.000000,1.000000,0.215000,0.000000,1.537144,2.228858
fft_guided_centerT,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,0.890000,24.000000,-0.357051,13.225022,2.132535,0.661804,2.284858,1.363163,1.317724,0.000000,0.005000,0.995000,0.110000,0.000000,1.526743,2.213777
fft_guided_centerT,10,0.280000,12.860000,13.140000,18,6,6,0.030000,0.030000,0.043009,6,1.000000,24.000000,-0.230446,4.168453,1.976171,0.266213,2.117326,1.349226,1.304252,0.000000,0.000000,1.000000,0.025000,0.000000,1.511134,2.191144
fft_guided_centerT,10,0.280000,12.860000,13.140000,20,60,58,0.300000,0.290000,0.051799,60,1.300000,24.000000,0.002715,0.183840,1.963995,0.139443,2.104280,1.350856,1.305828,0.000000,0.000000,1.000000,0.000000,0.000000,1.512959,2.193790
fft_guided_centerT,10,0.280000,12.860000,13.140000,22,148,147,0.740000,0.735000,0.039158,148,1.740000,24.000000,-0.010883,0.149071,1.943186,0.116366,2.081985,1.346397,1.301517,0.000000,0.000000,1.000000,0.000000,0.000000,1.507965,2.186549
fft_guided_centerT,10,0.280000,12.860000,13.140000,24,189,189,0.945000,0.945000,0.032746,189,1.945000,24.000000,-0.000383,0.109567,1.948436,0.090370,2.087611,1.347522,1.302605,0.000000,0.000000,1.000000,0.000000,0.000000,1.509225,2.188376
fft_guided_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.024319,199,1.995000,24.000000,0.001983,0.086020,1.935370,0.066100,2.073610,1.344722,1.299898,0.000000,0.000000,1.000000,0.000000,0.000000,1.506089,2.183829
fft_guided_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017805,200,2.000000,24.000000,-0.001925,0.067383,1.934745,0.054851,2.072941,1.344588,1.299769,0.000000,0.000000,1.000000,0.000000,0.000000,1.505939,2.183611
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,14,109,106,0.545000,0.530000,0.050207,109,1.425000,16.000000,-3.710725,20.826308,2.223084,0.603930,1.667313,1.254029,1.212228,0.000000,0.180000,0.820000,0.060000,0.000000,2.006446,2.909347
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,16,183,183,0.915000,0.915000,0.037044,183,1.885000,16.000000,-0.757679,9.690723,2.061342,0.366471,1.546006,1.235545,1.194360,0.000000,0.170000,0.830000,0.010000,0.000000,1.976871,2.866463
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.029787,200,2.000000,16.000000,-0.004191,0.242737,1.993527,0.202285,1.495146,1.226829,1.185935,0.000000,0.130000,0.870000,0.000000,0.000000,1.962926,2.846243
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.021114,200,2.000000,16.000000,-0.005261,0.182765,1.975331,0.144141,1.481498,1.225106,1.184269,0.000000,0.080000,0.920000,0.000000,0.000000,1.960170,2.842246
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.016520,200,2.000000,16.000000,-0.013943,0.139976,1.949376,0.106236,1.462032,1.221885,1.181155,0.000000,0.070000,0.930000,0.000000,0.000000,1.955016,2.834773
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012190,200,2.000000,16.000000,-0.005298,0.123031,1.946961,0.089982,1.460220,1.221841,1.181113,0.000000,0.050000,0.950000,0.000000,0.000000,1.954945,2.834671
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009760,200,2.000000,16.000000,-0.000560,0.091606,1.955029,0.069434,1.466271,1.223188,1.182415,0.000000,0.010000,0.990000,0.000000,0.000000,1.957100,2.837795
fft_guided_centerT_adaptive_window_piecewise,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008298,200,2.000000,16.000000,0.000790,0.069593,1.940912,0.057233,1.455684,1.221137,1.180432,0.000000,0.000000,1.000000,0.000000,0.000000,1.953819,2.833037
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,14,21,17,0.105000,0.085000,0.067572,21,0.970000,18.000000,-4.443871,24.789261,2.292028,1.141504,1.964595,1.289685,1.246695,0.000000,0.020000,0.980000,0.090000,0.000000,1.805559,2.618060
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,16,109,104,0.545000,0.520000,0.052544,109,1.505000,18.000000,-2.533962,13.629762,2.116748,0.564210,1.814356,1.284997,1.242164,0.000000,0.000000,1.000000,0.045000,0.000000,1.798996,2.608544
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,18,187,186,0.935000,0.930000,0.040950,187,1.925000,18.000000,-0.587092,6.312983,2.006091,0.306765,1.719507,1.271874,1.229478,0.000000,0.000000,1.000000,0.005000,0.000000,1.780623,2.581904
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,20,199,199,0.995000,0.995000,0.029874,199,1.995000,18.000000,-0.015956,0.175879,2.000136,0.168676,1.714402,1.272880,1.230451,0.000000,0.000000,1.000000,0.000000,0.000000,1.782033,2.583947
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.024139,200,2.000000,18.000000,0.004048,0.146247,1.963294,0.112839,1.682824,1.266565,1.224346,0.000000,0.000000,1.000000,0.000000,0.000000,1.773191,2.571126
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016698,200,2.000000,18.000000,0.005220,0.115482,1.957498,0.102485,1.677856,1.265571,1.223385,0.000000,0.000000,1.000000,0.000000,0.000000,1.771800,2.569109
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013397,200,2.000000,18.000000,-0.000392,0.086608,1.946591,0.064512,1.668506,1.263701,1.221578,0.000000,0.000000,1.000000,0.000000,0.000000,1.769182,2.565314
fft_guided_centerT_adaptive_window_piecewise,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010482,200,2.000000,18.000000,0.003844,0.064008,1.937558,0.053097,1.660764,1.262153,1.220081,0.000000,0.000000,1.000000,0.000000,0.000000,1.767014,2.562170
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,14,1,0,0.005000,0.000000,0.100933,1,0.780000,22.000000,-5.711743,23.534106,2.372610,1.296607,2.287874,1.340412,1.295732,0.000000,0.005000,0.995000,0.170000,0.000000,1.668069,2.418699
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,16,15,14,0.075000,0.070000,0.068087,15,1.035000,22.000000,-0.216650,8.770736,2.019098,0.405499,1.946988,1.313303,1.269526,0.000000,0.005000,0.995000,0.035000,0.000000,1.634332,2.369782
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,18,72,71,0.360000,0.355000,0.050613,72,1.350000,22.000000,-0.384420,5.345267,1.980036,0.251324,1.909320,1.310170,1.266497,0.000000,0.000000,1.000000,0.010000,0.000000,1.630433,2.364128
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,20,163,163,0.815000,0.815000,0.042179,163,1.815000,22.000000,-0.002890,0.176965,1.970669,0.138246,1.900288,1.310058,1.266389,0.000000,0.000000,1.000000,0.000000,0.000000,1.630294,2.363926
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,22,194,194,0.970000,0.970000,0.031697,194,1.970000,22.000000,0.001495,0.133074,1.956592,0.124714,1.886714,1.307343,1.263765,0.000000,0.000000,1.000000,0.000000,0.000000,1.626915,2.359027
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022447,200,2.000000,22.000000,0.002671,0.108502,1.947478,0.085887,1.877925,1.305585,1.262066,0.000000,0.000000,1.000000,0.000000,0.000000,1.624728,2.355856
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017195,200,2.000000,22.000000,0.002492,0.085691,1.938915,0.061654,1.869668,1.303934,1.260469,0.000000,0.000000,1.000000,0.000000,0.000000,1.622673,2.352876
fft_guided_centerT_adaptive_window_piecewise,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.014397,200,2.000000,22.000000,0.005881,0.067538,1.939126,0.057063,1.869872,1.303974,1.260509,0.000000,0.000000,1.000000,0.000000,0.000000,1.622724,2.352949
fft_guided_centerT_adaptive_window_piecewise,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.795000,24.000000,-2.481443,19.420698,2.254013,0.885052,2.415013,1.372450,1.326701,0.000000,0.000000,1.000000,0.215000,0.000000,1.537144,2.228858
fft_guided_centerT_adaptive_window_piecewise,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,0.920000,24.000000,-0.357051,13.225022,2.132535,0.661804,2.284858,1.363163,1.317724,0.000000,0.005000,0.995000,0.110000,0.000000,1.526743,2.213777
fft_guided_centerT_adaptive_window_piecewise,10,0.280000,12.860000,13.140000,18,6,6,0.030000,0.030000,0.048437,6,1.010000,24.000000,-0.230446,4.168453,1.976171,0.266213,2.117326,1.349226,1.304252,0.000000,0.000000,1.000000,0.025000,0.000000,1.511134,2.191144
