stage,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,phase_offset_deg,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,degraded_rate,snr90_abs01,snr90_rel025,mean_pair_sep_est,std_pair_sep_est,mean_pair_sep_bias,mean_abs_pair_sep_error,mean_pair_center_est,std_pair_center_est,mean_pair_center_bias,mean_abs_pair_center_error,objective_true_rank_median,objective_true_rank_p90,objective_margin_true_vs_best,objective_valley_sep_width_mean,objective_valley_center_width_mean
ksnr_scan,min_den_fb,16,50,10,0.263775445,20,0.000000000,0.020000000,0.000000000,0.000000000,1.131498049,1.000000000,NaN,NaN,1.735000000,0.000000000,1.471224555,1.471224555,0.859745551,0.000000000,0.859745551,0.859745551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,22,0.000000000,0.020000000,0.000000000,0.000000000,0.395148537,0.980000000,NaN,NaN,0.690000000,0.000000000,0.426224555,0.426224555,-0.332754449,0.000000000,-0.332754449,0.332754449,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,24,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,26,0.000000000,0.020000000,0.000000000,0.000000000,0.183443968,0.980000000,NaN,NaN,0.390000000,0.000000000,0.126224555,0.126224555,0.172245551,0.000000000,0.172245551,0.172245551,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,28,0.000000000,0.160000000,0.160000000,0.040000000,0.074788255,0.840000000,NaN,NaN,0.170000000,0.062098712,-0.093775445,0.093775445,-0.008379449,0.048585460,-0.008379449,0.033813612,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,16,50,10,0.263775445,30,0.000000000,0.320000000,0.320000000,0.120000000,0.062516794,0.680000000,NaN,NaN,0.156250000,0.036379081,-0.107525445,0.107525445,0.003808051,0.025933735,0.003808051,0.015656806,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,18,0.000000000,0.240000000,0.120000000,0.080000000,0.113061531,0.760000000,26.000000000,26.000000000,0.311666667,0.084491946,-0.065155398,0.093411032,0.029745551,0.095142437,0.029745551,0.074498517,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,20,0.000000000,0.560000000,0.400000000,0.300000000,0.076284663,0.440000000,26.000000000,26.000000000,0.249642857,0.041251160,-0.127179207,0.127179207,0.003674122,0.036562255,0.003674122,0.028731825,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,22,0.000000000,0.780000000,0.640000000,0.580000000,0.068935842,0.220000000,26.000000000,26.000000000,0.255641026,0.040018898,-0.121181039,0.121181039,0.008784012,0.024564250,0.008784012,0.019505612,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,24,0.000000000,0.940000000,0.880000000,0.780000000,0.067808130,0.060000000,26.000000000,26.000000000,0.251063830,0.029624174,-0.125758234,0.125758234,-0.002009768,0.020511510,-0.002009768,0.015336337,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,26,0.000000000,1.000000000,0.960000000,0.940000000,0.065085469,0.000000000,26.000000000,26.000000000,0.252100000,0.024679749,-0.124722064,0.124722064,0.001695551,0.013859022,0.001695551,0.010819466,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,28,0.000000000,1.000000000,1.000000000,1.000000000,0.059997767,0.000000000,26.000000000,26.000000000,0.259100000,0.013404850,-0.117722064,0.117722064,0.002695551,0.009106179,0.002695551,0.008088932,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,7,0.376822064,30,0.000000000,1.000000000,1.000000000,1.000000000,0.059597679,0.000000000,26.000000000,26.000000000,0.259200000,0.009713908,-0.117622064,0.117622064,0.000745551,0.008306624,0.000745551,0.006479644,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,18,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,20,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,22,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,24,0.000000000,0.000000000,0.000000000,0.000000000,NaN,1.000000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,26,0.000000000,0.280000000,0.220000000,0.060000000,0.088915476,0.720000000,NaN,NaN,0.214285714,0.076854620,-0.049489731,0.078585969,0.043674122,0.062526525,0.043674122,0.055677936,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,28,0.000000000,0.280000000,0.280000000,0.200000000,0.052227008,0.720000000,NaN,NaN,0.181428571,0.028935184,-0.082346874,0.082346874,0.000102694,0.028689488,0.000102694,0.019394764,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,20,46,10,0.263775445,30,0.000000000,0.400000000,0.400000000,0.220000000,0.059512925,0.600000000,NaN,NaN,0.149000000,0.024779023,-0.114775445,0.114775445,-0.000004449,0.009743588,-0.000004449,0.006800890,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,24,42,7,0.376822064,18,0.000000000,0.400000000,0.340000000,0.240000000,0.076368765,0.600000000,24.000000000,24.000000000,0.245000000,0.038013156,-0.131822064,0.131822064,0.001495551,0.033532633,0.001495551,0.021224555,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,24,42,7,0.376822064,20,0.000000000,0.600000000,0.600000000,0.560000000,0.067504793,0.400000000,24.000000000,24.000000000,0.251000000,0.028879058,-0.125822064,0.125822064,0.005245551,0.019054746,0.005245551,0.013932147,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,24,42,7,0.376822064,22,0.000000000,0.920000000,0.840000000,0.740000000,0.070877087,0.080000000,24.000000000,24.000000000,0.244347826,0.032178319,-0.132474238,0.132474238,0.000071638,0.019425224,0.000071638,0.014294446,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,24,42,7,0.376822064,24,0.000000000,0.980000000,0.980000000,0.920000000,0.067223580,0.020000000,24.000000000,24.000000000,0.247755102,0.022701731,-0.129066962,0.129066962,0.002959836,0.014725377,0.002959836,0.011218389,NaN,NaN,NaN,NaN,NaN
ksnr_scan,min_den_fb,24,42,7,0.376822064,26,0.000000000,0.980000000,0.980000000,0.880000000,0.070954141,0.020000000,24.000000000,24.000000000,0.237959184,0.022335987,-0.138862881,0.138862881,0.000102694,0.009435603,0.000102694,0.007209456,NaN,NaN,NaN,NaN,NaN
