route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_4b_deg,mean_routeB_beam_span_4b_deg,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,16,116,110,0.580000,0.550000,0.055432,116,1.550000,18.000000,-1.107940,12.818322,2.123566,0.647859,2.199058,3.298587,1.795747,2.603834,1.820199,1.282677,1.239921
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,18,187,187,0.935000,0.935000,0.041445,187,1.935000,18.000000,-0.012532,0.214816,2.004595,0.216028,2.216333,3.324499,1.782953,2.585282,1.718224,1.273538,1.231086
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.028978,200,2.000000,18.000000,-0.003720,0.200164,1.978048,0.165814,2.226490,3.339735,1.776200,2.575490,1.695470,1.268714,1.226424
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.021250,200,2.000000,18.000000,-0.010894,0.130631,1.954002,0.098030,2.229304,3.343956,1.770961,2.567893,1.674859,1.264972,1.222806
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.017051,200,2.000000,18.000000,0.015397,0.104739,1.941537,0.086765,2.230151,3.345226,1.767969,2.563555,1.664175,1.262835,1.220740
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.014158,200,2.000000,18.000000,0.009282,0.089437,1.939993,0.070890,2.232699,3.349048,1.767598,2.563018,1.662851,1.262570,1.220485
fft_guided_centerT_adaptive_window_proto4b,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010242,200,2.000000,18.000000,0.000453,0.074739,1.940750,0.056316,2.236646,3.354968,1.767780,2.563281,1.663500,1.262700,1.220610
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,0.855000,22.000000,-0.921252,23.466475,2.370272,1.577942,1.983633,2.975450,1.659448,2.406200,2.285620,1.333485,1.289036
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,16,11,11,0.055000,0.055000,0.053648,11,1.040000,22.000000,-2.118001,11.323601,2.062178,0.350726,1.990455,2.985682,1.645267,2.385637,1.988529,1.322090,1.278020
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,18,87,85,0.435000,0.425000,0.052179,87,1.435000,22.000000,-0.165413,2.460893,1.990108,0.190527,1.991111,2.986667,1.634698,2.370312,1.919033,1.313596,1.269810
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,20,165,165,0.825000,0.825000,0.041911,165,1.825000,22.000000,0.010678,0.164646,1.953529,0.141989,1.990694,2.986041,1.626180,2.357961,1.883760,1.306752,1.263194
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,22,199,199,0.995000,0.995000,0.031635,199,1.995000,22.000000,0.010828,0.131209,1.937564,0.107201,1.991111,2.986667,1.622349,2.352405,1.868365,1.303673,1.260217
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022227,200,2.000000,22.000000,0.003862,0.116139,1.939797,0.079013,1.991111,2.986667,1.622885,2.353183,1.870519,1.304104,1.260634
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017300,200,2.000000,22.000000,0.005378,0.088123,1.937417,0.069265,1.991111,2.986667,1.622313,2.352355,1.868224,1.303645,1.260190
fft_guided_centerT_adaptive_window_proto4b,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.014150,200,2.000000,22.000000,-0.003622,0.068461,1.933387,0.053391,1.991111,2.986667,1.621346,2.350952,1.864337,1.302867,1.259439
