config_name,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,seed_group_id,base_seed,trial_id,seed,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C05_easy_very_aggressive,strong_coherent,EASY,high,,,336,5,3,20260611,6,20262617,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995472720237234,0.00236043852198516,0.00789395238710517,0,0.0161804396345576,0.163571653569882,0.405757351826241,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,337,5,3,20260611,7,20262618,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994581781917908,0.00400616999049216,0.00860817958252767,0,0.0148363999557136,0.025,0.351812723660196,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,338,5,3,20260611,8,20262619,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995429749220835,0.00237743500500213,0.00795117432414407,0,0.0161804396345576,0.159889082249538,0.404325938385754,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,339,5,3,20260611,9,20262620,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994546338336022,0.00404260640443725,0.00860537333750034,0,0.0148363999557136,0.025,0.351800318406536,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,340,5,3,20260611,10,20262621,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995452798872294,0.00236482081215911,0.00793199376524198,0,0.0161804396345576,0.162622157365525,0.405385188500683,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,341,5,3,20260611,11,20262622,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994544636682865,0.00403898622422011,0.00860234068678532,0,0.0148363999557136,0.025,0.351799722827931,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,342,5,3,20260611,12,20262623,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995421113707774,0.00235138873499869,0.00796516385383673,0,0.0161804396345576,0.165532440750285,0.40649343845647,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,343,5,3,20260611,13,20262624,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994553636961836,0.00400669550191223,0.00861290773722941,0,0.0148363999557136,0.025,0.351802872925571,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,344,5,3,20260611,14,20262625,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995433701178622,0.00237165553557852,0.00795192245032098,0,0.0161804396345576,0.161141300624654,0.404808944022947,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,345,5,3,20260611,15,20262626,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994550636193784,0.00405346523920421,0.00859884993984973,0,0.0148363999557136,0.025,0.351801822656753,1,0.6,0.6
