route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_peak_ratio,std_peak_ratio,adaptive_use_rate,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg,mean_theta_search_selected_deg,mean_routeB_beam_span_selected_deg
fft_guided_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020870,200,2.000000,18.000000,-0.015956,0.176336,2.004090,0.169249,4.892991,1.859874,0.635000,2.374905,3.562357,2.033046,3.049569
fft_guided_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017137,200,2.000000,18.000000,0.004048,0.146601,1.967577,0.114455,6.851294,2.019052,0.810000,2.354355,3.531532,2.178576,3.267864
fft_guided_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012463,200,2.000000,18.000000,0.005390,0.116257,1.961521,0.103494,10.249180,2.990324,0.815000,2.349940,3.524910,2.177662,3.266493
fft_guided_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009950,200,2.000000,18.000000,-0.000392,0.087337,1.950519,0.065016,12.986845,4.054770,0.925000,2.340370,3.510555,2.272423,3.408634
fft_guided_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008046,200,2.000000,18.000000,0.003844,0.064456,1.941457,0.053533,15.904265,4.798565,0.985000,2.329749,3.494623,2.316656,3.474984
fft_guided_centerT,8,0.350000,12.825000,13.175000,14,16,16,0.080000,0.080000,0.063099,16,0.820000,20.000000,-5.331257,23.069763,2.369625,1.294977,1.663198,0.853263,0.185000,2.199211,3.298816,1.543915,2.315872
fft_guided_centerT,8,0.350000,12.825000,13.175000,16,116,111,0.580000,0.555000,0.051849,116,1.530000,20.000000,-0.216685,8.771927,2.022626,0.406351,2.190528,0.928940,0.410000,2.196724,3.295086,1.726356,2.589535
fft_guided_centerT,8,0.350000,12.825000,13.175000,18,174,171,0.870000,0.855000,0.042446,174,1.865000,20.000000,-0.383741,5.345339,1.982427,0.251140,3.116126,1.215247,0.665000,2.213618,3.320427,1.937895,2.906843
fft_guided_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030384,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,4.999614,1.800236,0.740000,2.225662,3.338493,2.008669,3.013004
fft_guided_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022992,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,6.936146,2.168061,0.810000,2.226591,3.339887,2.066991,3.100487
fft_guided_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016414,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,10.197562,3.029263,0.885000,2.231709,3.347564,2.135109,3.202664
fft_guided_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013181,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,13.071673,4.004875,0.940000,2.236229,3.354343,2.185829,3.278743
fft_guided_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010972,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,15.576111,4.240953,0.950000,2.238148,3.357222,2.196148,3.294222
fft_guided_centerT,9,0.311111,12.844444,13.155556,14,2,2,0.010000,0.010000,0.066217,2,0.745000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.823725,0.800071,0.220000,1.987946,2.981919,1.408388,2.112583
fft_guided_centerT,9,0.311111,12.844444,13.155556,16,11,10,0.055000,0.050000,0.053631,11,0.945000,22.000000,-0.357392,13.224978,2.134858,0.661328,2.247840,1.053085,0.375000,1.986282,2.979422,1.524229,2.286343
fft_guided_centerT,9,0.311111,12.844444,13.155556,18,80,78,0.400000,0.390000,0.054553,80,1.375000,22.000000,-0.229767,4.168507,1.977797,0.265928,3.247480,1.282474,0.665000,1.990305,2.985458,1.740978,2.611467
fft_guided_centerT,9,0.311111,12.844444,13.155556,20,164,164,0.820000,0.820000,0.043073,164,1.820000,22.000000,0.003395,0.184517,1.965681,0.140217,4.972194,1.957196,0.730000,1.990902,2.986354,1.789302,2.683954
fft_guided_centerT,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.030423,197,1.985000,22.000000,-0.010713,0.149882,1.944860,0.116863,6.955737,2.132688,0.840000,1.991111,2.986667,1.871644,2.807467
fft_guided_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023814,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,9.792172,2.995611,0.850000,1.991111,2.986667,1.879111,2.818667
fft_guided_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018151,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,13.307069,3.765234,0.950000,1.991111,2.986667,1.953778,2.930667
fft_guided_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013848,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,15.592868,4.848336,0.970000,1.991111,2.986667,1.968711,2.953067
fft_guided_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,0.755000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.708294,0.719731,0.175000,1.789192,2.683788,1.237600,1.856400
fft_guided_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.044291,1,0.905000,24.000000,-1.292545,10.645811,2.059819,0.540109,2.374965,1.061826,0.440000,1.792000,2.688000,1.415680,2.123520
fft_guided_centerT,10,0.280000,12.860000,13.140000,18,13,11,0.065000,0.055000,0.074417,13,1.040000,24.000000,0.307738,4.680274,2.025902,0.459536,3.226109,1.337258,0.565000,1.792000,2.688000,1.499680,2.249520
fft_guided_centerT,10,0.280000,12.860000,13.140000,20,59,57,0.295000,0.285000,0.047093,59,1.290000,24.000000,-0.003566,0.179377,1.960498,0.146912,4.748748,1.569257,0.745000,1.792000,2.688000,1.620640,2.430960
fft_guided_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.040855,144,1.720000,24.000000,-0.006312,0.130945,1.951327,0.102199,6.870162,2.054926,0.860000,1.792000,2.688000,1.697920,2.546880
fft_guided_centerT,10,0.280000,12.860000,13.140000,24,191,191,0.955000,0.955000,0.030540,191,1.955000,24.000000,-0.007341,0.108913,1.947206,0.082952,10.185645,3.029747,0.895000,1.792000,2.688000,1.721440,2.582160
fft_guided_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022665,199,1.995000,24.000000,0.005547,0.084904,1.934771,0.062397,13.357617,3.918757,0.965000,1.792000,2.688000,1.768480,2.652720
fft_guided_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017986,200,2.000000,24.000000,0.002658,0.071765,1.931784,0.052353,15.623599,4.815179,0.980000,1.792000,2.688000,1.778560,2.667840
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,14,138,136,0.690000,0.680000,3.812628,138,1.630000,16.000000,-3.711231,20.826249,2.227827,0.601786,1.683873,0.687020,0.185000,2.503737,3.755605,1.943100,2.914650
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,16,187,186,0.935000,0.930000,3.200039,187,1.920000,16.000000,-0.758354,9.690754,2.069671,0.367349,2.252380,0.956700,0.370000,2.432690,3.649035,2.004711,3.007066
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019964,200,2.000000,16.000000,-0.005547,0.244973,2.000424,0.205184,3.228183,1.403065,0.600000,2.393480,3.590220,2.116444,3.174666
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014424,200,2.000000,16.000000,-0.004581,0.185036,1.982102,0.146880,4.986722,1.625979,0.720000,2.378522,3.567784,2.174919,3.262378
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011813,200,2.000000,16.000000,-0.014282,0.140987,1.956794,0.108044,7.099513,2.151652,0.830000,2.348153,3.522229,2.232013,3.348019
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.009142,200,2.000000,16.000000,-0.005128,0.123495,1.953778,0.092037,9.922976,2.767899,0.855000,2.344534,3.516801,2.248557,3.372835
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007340,200,2.000000,16.000000,-0.000390,0.092529,1.961736,0.070857,13.956901,3.964754,0.885000,2.354083,3.531125,2.279808,3.419712
fft_guided_centerT_adaptive_window,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006379,200,2.000000,16.000000,0.000960,0.070720,1.947495,0.058096,16.247934,4.903964,0.955000,2.336995,3.505492,2.308377,3.462566
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,14,113,102,0.565000,0.510000,1.486973,113,1.475000,16.000000,-3.959281,24.380142,2.300352,1.145461,1.742979,0.772049,0.225000,2.361035,3.541552,1.747855,2.621782
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,16,180,180,0.900000,0.900000,0.037555,180,1.865000,16.000000,-2.533107,13.630015,2.121250,0.565706,2.211001,0.945777,0.400000,2.373146,3.559720,1.862047,2.793071
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,18,198,198,0.990000,0.990000,0.026427,198,1.990000,16.000000,-0.587770,6.312961,2.009786,0.307366,3.258401,1.395736,0.620000,2.355875,3.533812,2.017859,3.026789
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.021027,200,2.000000,16.000000,-0.015956,0.176336,2.004090,0.169249,4.892991,1.859874,0.635000,2.374905,3.562357,2.033046,3.049569
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017409,200,2.000000,16.000000,0.004048,0.146601,1.967577,0.114455,6.851294,2.019052,0.810000,2.354355,3.531532,2.178576,3.267864
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012412,200,2.000000,16.000000,0.005390,0.116257,1.961521,0.103494,10.249180,2.990324,0.815000,2.349940,3.524910,2.177662,3.266493
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.010069,200,2.000000,16.000000,-0.000392,0.087337,1.950519,0.065016,12.986845,4.054770,0.925000,2.340370,3.510555,2.272423,3.408634
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.007857,200,2.000000,16.000000,0.003844,0.064456,1.941457,0.053533,15.904265,4.798565,0.985000,2.329749,3.494623,2.316656,3.474984
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,14,19,19,0.095000,0.095000,0.062372,19,0.925000,20.000000,-5.331257,23.069763,2.369625,1.294977,1.663198,0.853263,0.185000,2.199211,3.298816,1.543915,2.315872
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,16,120,114,0.600000,0.570000,0.053602,120,1.570000,20.000000,-0.216685,8.771927,2.022626,0.406351,2.190528,0.928940,0.410000,2.196724,3.295086,1.726356,2.589535
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042354,177,1.880000,20.000000,-0.383741,5.345339,1.982427,0.251140,3.116126,1.215247,0.665000,2.213618,3.320427,1.937895,2.906843
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030456,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,4.999614,1.800236,0.740000,2.225662,3.338493,2.008669,3.013004
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022991,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,6.936146,2.168061,0.810000,2.226591,3.339887,2.066991,3.100487
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016439,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,10.197562,3.029263,0.885000,2.231709,3.347564,2.135109,3.202664
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013114,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,13.071673,4.004875,0.940000,2.236229,3.354343,2.185829,3.278743
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011015,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,15.576111,4.240953,0.950000,2.238148,3.357222,2.196148,3.294222
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,14,2,2,0.010000,0.010000,0.064666,2,0.875000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.823725,0.800071,0.220000,1.987946,2.981919,1.408388,2.112583
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,16,12,10,0.060000,0.050000,0.060519,12,0.985000,22.000000,-0.357392,13.224978,2.134858,0.661328,2.247840,1.053085,0.375000,1.986282,2.979422,1.524229,2.286343
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,18,76,73,0.380000,0.365000,0.055660,76,1.375000,22.000000,-0.229767,4.168507,1.977797,0.265928,3.247480,1.282474,0.665000,1.990305,2.985458,1.740978,2.611467
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,20,164,162,0.820000,0.810000,0.042952,164,1.820000,22.000000,0.003395,0.184517,1.965681,0.140217,4.972194,1.957196,0.730000,1.990902,2.986354,1.789302,2.683954
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.029894,197,1.985000,22.000000,-0.010713,0.149882,1.944860,0.116863,6.955737,2.132688,0.840000,1.991111,2.986667,1.871644,2.807467
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023931,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,9.792172,2.995611,0.850000,1.991111,2.986667,1.879111,2.818667
