Step 08 Route B FFT confidence-gated adaptive window prototype 4c
Prototype scope: add a conservative FFT-confidence gate on top of prototype4b adaptive window.
Route comparison: baseline_true_centerT vs fft_guided_centerT vs fft_guided_centerT_adaptive_window vs fft_confidence_gated_adaptive_window.
Common experiment settings:
snr_list=[14 16 18 20 22 24 26 28], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[6 7 8 9 10]
Route B internal settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00
FFT settings: Nfft_spatial=4096, gamma_search=1.20, gamma_span=1.50.
Adaptive bounds: search in [0.60, 1.60] x fixed, span in [0.80, 1.60] x fixed.
Confidence gate: fwhm_fft_deg <= 2.050 and peak_ratio >= 1.800.

=== sep_factor = 6, theta_sep = 0.4667 deg ===
SNR=14 dB | adaptive-window raw=19 tol=19 raw_rate=0.095 tol_rate=0.095 RMSE=0.0624 mean_num_peaks=0.93 mean_fwhm=2.3696 mean_search_adapt=2.1992 mean_span_adapt=3.2988
SNR=14 dB | gated-window raw=17 tol=17 raw_rate=0.085 tol_rate=0.085 RMSE=0.0626 mean_num_peaks=0.83 adaptive_use=0.185 mean_peak_ratio=1.6632 mean_search_selected=1.5439 mean_span_selected=2.3159
sample metkl=1 | center_true=13.0000 center_fft=13.4160 err_fft=0.4160 fwhm=2.1442 p1=0.2711 p2=0.2289 peak_ratio=1.1845 use_adapt=0 search_fixed=1.4000 search_adapt=2.2400 search_selected=1.4000 span_fixed=2.1000 span_adapt=3.3600 span_selected=2.1000 doa_true=[NaN NaN] doa_fft=[NaN NaN] doa_adapt=[NaN NaN] doa_gated=[NaN NaN]
SNR=16 dB | baseline raw=125 tol=121 raw_rate=0.625 tol_rate=0.605 RMSE=0.0521 mean_num_peaks=1.62
SNR=16 dB | fft-guided raw=116 tol=111 raw_rate=0.580 tol_rate=0.555 RMSE=0.0518 mean_num_peaks=1.53 mean_fft_err=-0.2167 std_fft_err=8.7719
SNR=16 dB | adaptive-window raw=120 tol=114 raw_rate=0.600 tol_rate=0.570 RMSE=0.0536 mean_num_peaks=1.57 mean_fwhm=2.0226 mean_search_adapt=2.1967 mean_span_adapt=3.2951
SNR=16 dB | gated-window raw=119 tol=113 raw_rate=0.595 tol_rate=0.565 RMSE=0.0536 mean_num_peaks=1.54 adaptive_use=0.410 mean_peak_ratio=2.1905 mean_search_selected=1.7264 mean_span_selected=2.5895
sample metkl=1 | center_true=13.0000 center_fft=12.9745 err_fft=-0.0255 fwhm=1.7715 p1=0.3543 p2=0.0981 peak_ratio=3.6111 use_adapt=1 search_fixed=1.4000 search_adapt=2.1258 search_selected=2.1258 span_fixed=2.1000 span_adapt=3.1887 span_selected=3.1887 doa_true=[12.93 13.15] doa_fft=[12.93 13.15] doa_adapt=[12.93 13.15] doa_gated=[12.93 13.15]
SNR=18 dB | baseline raw=177 tol=174 raw_rate=0.885 tol_rate=0.870 RMSE=0.0421 mean_num_peaks=1.89
SNR=18 dB | fft-guided raw=174 tol=171 raw_rate=0.870 tol_rate=0.855 RMSE=0.0424 mean_num_peaks=1.86 mean_fft_err=-0.3837 std_fft_err=5.3453
SNR=18 dB | adaptive-window raw=177 tol=174 raw_rate=0.885 tol_rate=0.870 RMSE=0.0424 mean_num_peaks=1.88 mean_fwhm=1.9824 mean_search_adapt=2.2136 mean_span_adapt=3.3204
SNR=18 dB | gated-window raw=173 tol=170 raw_rate=0.865 tol_rate=0.850 RMSE=0.0423 mean_num_peaks=1.86 adaptive_use=0.665 mean_peak_ratio=3.1161 mean_search_selected=1.9379 mean_span_selected=2.9068
sample metkl=1 | center_true=13.0000 center_fft=13.2121 err_fft=0.2121 fwhm=1.9815 p1=0.3125 p2=0.0992 peak_ratio=3.1496 use_adapt=1 search_fixed=1.4000 search_adapt=2.2400 search_selected=2.2400 span_fixed=2.1000 span_adapt=3.3600 span_selected=3.3600 doa_true=[NaN NaN] doa_fft=[NaN NaN] doa_adapt=[NaN NaN] doa_gated=[NaN NaN]
SNR=20 dB | baseline raw=199 tol=198 raw_rate=0.995 tol_rate=0.990 RMSE=0.0305 mean_num_peaks=2.00
SNR=20 dB | fft-guided raw=199 tol=198 raw_rate=0.995 tol_rate=0.990 RMSE=0.0304 mean_num_peaks=2.00 mean_fft_err=-0.0036 std_fft_err=0.1784
SNR=20 dB | adaptive-window raw=199 tol=198 raw_rate=0.995 tol_rate=0.990 RMSE=0.0305 mean_num_peaks=2.00 mean_fwhm=1.9734 mean_search_adapt=2.2257 mean_span_adapt=3.3385
SNR=20 dB | gated-window raw=199 tol=198 raw_rate=0.995 tol_rate=0.990 RMSE=0.0305 mean_num_peaks=2.00 adaptive_use=0.740 mean_peak_ratio=4.9996 mean_search_selected=2.0087 mean_span_selected=3.0130
sample metkl=1 | center_true=13.0000 center_fft=13.2121 err_fft=0.2121 fwhm=1.9318 p1=0.3381 p2=0.03817 peak_ratio=8.8588 use_adapt=1 search_fixed=1.4000 search_adapt=2.2400 search_selected=2.2400 span_fixed=2.1000 span_adapt=3.3600 span_selected=3.3600 doa_true=[12.85 13.18] doa_fft=[12.85 13.18] doa_adapt=[12.85 13.18] doa_gated=[12.85 13.18]
SNR=22 dB | baseline raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0231 mean_num_peaks=2.00
SNR=22 dB | fft-guided raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0230 mean_num_peaks=2.00 mean_fft_err=0.0013 std_fft_err=0.1346
SNR=22 dB | adaptive-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0230 mean_num_peaks=2.00 mean_fwhm=1.9591 mean_search_adapt=2.2266 mean_span_adapt=3.3399
SNR=22 dB | gated-window raw=200 tol=200 raw_rate=1.000 tol_rate=1.000 RMSE=0.0230 mean_num_peaks=2.00 adaptive_use=0.810 mean_peak_ratio=6.9361 mean_search_selected=2.0670 mean_span_selected=3.1005
