obs_global_index,obs_id,chunk_id_assigned,total_chunks,run_tag,center_index,center_az,scenario_name,scenario_index,trial_id,planned_flag,completed_flag
133,cp00p00_low_snr_hard_t0013,13,120,formal_tps30,1,0,low_snr_hard,5,13,1,1
134,cp00p00_low_snr_hard_t0014,14,120,formal_tps30,1,0,low_snr_hard,5,14,1,1
135,cp00p00_low_snr_hard_t0015,15,120,formal_tps30,1,0,low_snr_hard,5,15,1,1
136,cp00p00_low_snr_hard_t0016,16,120,formal_tps30,1,0,low_snr_hard,5,16,1,1
137,cp00p00_low_snr_hard_t0017,17,120,formal_tps30,1,0,low_snr_hard,5,17,1,1
138,cp00p00_low_snr_hard_t0018,18,120,formal_tps30,1,0,low_snr_hard,5,18,1,1
139,cp00p00_low_snr_hard_t0019,19,120,formal_tps30,1,0,low_snr_hard,5,19,1,1
140,cp00p00_low_snr_hard_t0020,20,120,formal_tps30,1,0,low_snr_hard,5,20,1,1
141,cp00p00_low_snr_hard_t0021,21,120,formal_tps30,1,0,low_snr_hard,5,21,1,1
142,cp00p00_low_snr_hard_t0022,22,120,formal_tps30,1,0,low_snr_hard,5,22,1,1
143,cp00p00_low_snr_hard_t0023,23,120,formal_tps30,1,0,low_snr_hard,5,23,1,1
144,cp00p00_low_snr_hard_t0024,24,120,formal_tps30,1,0,low_snr_hard,5,24,1,1
145,cp00p00_low_snr_hard_t0025,25,120,formal_tps30,1,0,low_snr_hard,5,25,1,1
146,cp00p00_low_snr_hard_t0026,26,120,formal_tps30,1,0,low_snr_hard,5,26,1,1
147,cp00p00_low_snr_hard_t0027,27,120,formal_tps30,1,0,low_snr_hard,5,27,1,1
148,cp00p00_low_snr_hard_t0028,28,120,formal_tps30,1,0,low_snr_hard,5,28,1,1
149,cp00p00_low_snr_hard_t0029,29,120,formal_tps30,1,0,low_snr_hard,5,29,1,1
150,cp00p00_low_snr_hard_t0030,30,120,formal_tps30,1,0,low_snr_hard,5,30,1,1
151,cp00p00_near_tie_close_sep_t0001,31,120,formal_tps30,1,0,near_tie_close_sep,6,1,1,1
152,cp00p00_near_tie_close_sep_t0002,32,120,formal_tps30,1,0,near_tie_close_sep,6,2,1,1
153,cp00p00_near_tie_close_sep_t0003,33,120,formal_tps30,1,0,near_tie_close_sep,6,3,1,1
154,cp00p00_near_tie_close_sep_t0004,34,120,formal_tps30,1,0,near_tie_close_sep,6,4,1,1
155,cp00p00_near_tie_close_sep_t0005,35,120,formal_tps30,1,0,near_tie_close_sep,6,5,1,1
156,cp00p00_near_tie_close_sep_t0006,36,120,formal_tps30,1,0,near_tie_close_sep,6,6,1,1
157,cp00p00_near_tie_close_sep_t0007,37,120,formal_tps30,1,0,near_tie_close_sep,6,7,1,1
158,cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,1,0,near_tie_close_sep,6,8,1,1
159,cp00p00_near_tie_close_sep_t0009,39,120,formal_tps30,1,0,near_tie_close_sep,6,9,1,1
160,cp00p00_near_tie_close_sep_t0010,40,120,formal_tps30,1,0,near_tie_close_sep,6,10,1,1
161,cp00p00_near_tie_close_sep_t0011,41,120,formal_tps30,1,0,near_tie_close_sep,6,11,1,1
162,cp00p00_near_tie_close_sep_t0012,42,120,formal_tps30,1,0,near_tie_close_sep,6,12,1,1
163,cp00p00_near_tie_close_sep_t0013,43,120,formal_tps30,1,0,near_tie_close_sep,6,13,1,1
164,cp00p00_near_tie_close_sep_t0014,44,120,formal_tps30,1,0,near_tie_close_sep,6,14,1,1
165,cp00p00_near_tie_close_sep_t0015,45,120,formal_tps30,1,0,near_tie_close_sep,6,15,1,1
166,cp00p00_near_tie_close_sep_t0016,46,120,formal_tps30,1,0,near_tie_close_sep,6,16,1,1
167,cp00p00_near_tie_close_sep_t0017,47,120,formal_tps30,1,0,near_tie_close_sep,6,17,1,1
168,cp00p00_near_tie_close_sep_t0018,48,120,formal_tps30,1,0,near_tie_close_sep,6,18,1,1
169,cp00p00_near_tie_close_sep_t0019,49,120,formal_tps30,1,0,near_tie_close_sep,6,19,1,1
170,cp00p00_near_tie_close_sep_t0020,50,120,formal_tps30,1,0,near_tie_close_sep,6,20,1,1
171,cp00p00_near_tie_close_sep_t0021,51,120,formal_tps30,1,0,near_tie_close_sep,6,21,1,1
172,cp00p00_near_tie_close_sep_t0022,52,120,formal_tps30,1,0,near_tie_close_sep,6,22,1,1
173,cp00p00_near_tie_close_sep_t0023,53,120,formal_tps30,1,0,near_tie_close_sep,6,23,1,1
174,cp00p00_near_tie_close_sep_t0024,54,120,formal_tps30,1,0,near_tie_close_sep,6,24,1,1
175,cp00p00_near_tie_close_sep_t0025,55,120,formal_tps30,1,0,near_tie_close_sep,6,25,1,1
176,cp00p00_near_tie_close_sep_t0026,56,120,formal_tps30,1,0,near_tie_close_sep,6,26,1,1
177,cp00p00_near_tie_close_sep_t0027,57,120,formal_tps30,1,0,near_tie_close_sep,6,27,1,1
178,cp00p00_near_tie_close_sep_t0028,58,120,formal_tps30,1,0,near_tie_close_sep,6,28,1,1
179,cp00p00_near_tie_close_sep_t0029,59,120,formal_tps30,1,0,near_tie_close_sep,6,29,1,1
180,cp00p00_near_tie_close_sep_t0030,60,120,formal_tps30,1,0,near_tie_close_sep,6,30,1,1
181,cp00p00_medium_beta_coherent_t0001,61,120,formal_tps30,1,0,medium_beta_coherent,7,1,1,1
182,cp00p00_medium_beta_coherent_t0002,62,120,formal_tps30,1,0,medium_beta_coherent,7,2,1,1
183,cp00p00_medium_beta_coherent_t0003,63,120,formal_tps30,1,0,medium_beta_coherent,7,3,1,1
184,cp00p00_medium_beta_coherent_t0004,64,120,formal_tps30,1,0,medium_beta_coherent,7,4,1,1
185,cp00p00_medium_beta_coherent_t0005,65,120,formal_tps30,1,0,medium_beta_coherent,7,5,1,1
186,cp00p00_medium_beta_coherent_t0006,66,120,formal_tps30,1,0,medium_beta_coherent,7,6,1,1
187,cp00p00_medium_beta_coherent_t0007,67,120,formal_tps30,1,0,medium_beta_coherent,7,7,1,1
188,cp00p00_medium_beta_coherent_t0008,68,120,formal_tps30,1,0,medium_beta_coherent,7,8,1,1
189,cp00p00_medium_beta_coherent_t0009,69,120,formal_tps30,1,0,medium_beta_coherent,7,9,1,1
190,cp00p00_medium_beta_coherent_t0010,70,120,formal_tps30,1,0,medium_beta_coherent,7,10,1,1
191,cp00p00_medium_beta_coherent_t0011,71,120,formal_tps30,1,0,medium_beta_coherent,7,11,1,1
