gate_mode,scenario_name,az_sep_deg,SNR_dB,trials,success_rate,safe_rate,false_high_rate,false_split_rate,boundary_missed_rate,low_confidence_rate,boundary_unreliable_rate,out_of_scope_reject_rate,common_el_proxy_pass_rate,selected_gate_pass_rate,rank1_without_common_el_gate_pass_rate,rank1_refocus_consensus_gate_pass_rate,rank1_route_reliable_rate,refocus_route_reliable_rate,truth_rank1_top3_rate,truth_refocus_top3_rate,mean_az_error_success,mean_el_error_success,median_runtime_sec,route_distribution,confidence_distribution
rank1_refocus_consensus_gate,close_coherent_pair,0.15,16,60,0.8,1,0,0,0,0.2,0,0,0,0.8,0.8,0.8,0.8,0.8,1,1,0.0283333333333324,0,0.0375742,common_el_rank1_refocus:48;low_confidence:12,medium:48;low:12
rank1_refocus_consensus_gate,close_coherent_pair,0.25,16,60,0.783333333333333,1,0,0,0,0.216666666666667,0,0,0,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,0.783333333333333,1,1,0.0232978723404195,0,0.03676445,common_el_rank1_refocus:47;low_confidence:13,medium:47;low:13
rank1_refocus_consensus_gate,close_coherent_pair,0.4,16,60,0.9,1,0,0,0,0.1,0,0,0,0.9,0.9,0.9,0.9,0.9,1,1,0.0137037037037086,0,0.0360313,common_el_rank1_refocus:54;low_confidence:6,medium:54;low:6
rank1_refocus_consensus_gate,close_coherent_pair,0.6,16,60,0.983333333333333,1,0,0,0,0.0166666666666667,0,0,0,0.983333333333333,0.983333333333333,0.983333333333333,0.983333333333333,0.983333333333333,1,1,0.0145762711864448,0,0.03604275,common_el_rank1_refocus:59;low_confidence:1,medium:59;low:1
rank1_refocus_consensus_gate,close_coherent_pair,0.8,16,60,0.95,1,0,0,0,0.05,0,0,0,0.95,0.95,0.95,0.95,0.95,1,1,0.0217543859649104,0,0.0360523,common_el_rank1_refocus:57;low_confidence:3,medium:57;low:3
rank1_refocus_consensus_gate,medium_beta_pair,0.25,8,90,0.733333333333333,1,0,0,0,0.266666666666667,0.188888888888889,0,0,0.733333333333333,0.733333333333333,0.733333333333333,0.922222222222222,0.922222222222222,0.444444444444444,0.411111111111111,0.0503030303030263,0,0.03737055,common_el_rank1_refocus:66;boundary_unreliable:17;low_confidence:7,medium:66;low:24
rank1_refocus_consensus_gate,medium_beta_pair,0.4,8,90,0.633333333333333,1,0,0,0,0.366666666666667,0.311111111111111,0,0,0.633333333333333,0.633333333333333,0.633333333333333,0.922222222222222,0.922222222222222,0.333333333333333,0.333333333333333,0.0649122807017557,0,0.0372306,common_el_rank1_refocus:57;boundary_unreliable:28;low_confidence:5,medium:57;low:33
rank1_refocus_consensus_gate,medium_beta_pair,0.6,8,90,0.844444444444444,1,0,0,0,0.155555555555556,0.144444444444444,0,0,0.844444444444444,0.844444444444444,0.844444444444444,0.988888888888889,0.988888888888889,0.322222222222222,0.266666666666667,0.100394736842107,0,0.0368384,common_el_rank1_refocus:76;boundary_unreliable:13;low_confidence:1,medium:76;low:14
rank1_refocus_consensus_gate,medium_beta_pair,0.25,16,90,0.911111111111111,1,0,0,0,0.0888888888888889,0,0,0,0.911111111111111,0.911111111111111,0.911111111111111,0.911111111111111,0.911111111111111,0.477777777777778,0.511111111111111,0.0442073170731661,0,0.03411335,low_confidence:8;common_el_rank1_refocus:82,low:8;medium:82
rank1_refocus_consensus_gate,medium_beta_pair,0.4,16,90,0.888888888888889,1,0,0,0,0.111111111111111,0,0,0,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.322222222222222,0.333333333333333,0.0682500000000001,0,0.03448605,common_el_rank1_refocus:80;low_confidence:10,medium:80;low:10
rank1_refocus_consensus_gate,medium_beta_pair,0.6,16,90,0.977777777777778,1,0,0,0,0.0222222222222222,0,0,0,0.977777777777778,0.977777777777778,0.977777777777778,0.977777777777778,0.977777777777778,0.322222222222222,0.322222222222222,0.100795454545456,0,0.03712985,common_el_rank1_refocus:88;low_confidence:2,medium:88;low:2
rank1_refocus_consensus_gate,weak_target_boundary,0.25,8,30,0,1,0,0,0,0.433333333333333,0.333333333333333,0,0,0.566666666666667,0.566666666666667,0.566666666666667,0.866666666666667,0.866666666666667,0,0,NaN,NaN,0.03905825,common_el_rank1_refocus:17;low_confidence:3;boundary_unreliable:10,medium:17;low:13
rank1_refocus_consensus_gate,weak_target_boundary,0.25,16,30,0,1,0,0,0,0.3,0,0,0,0.7,0.7,0.7,0.7,0.7,0,0,NaN,NaN,0.03870575,common_el_rank1_refocus:21;low_confidence:9,medium:21;low:9
rank1_refocus_consensus_gate,near_antiphase_boundary,0.25,8,60,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,0.0012445,boundary_unreliable:60,low:60
rank1_refocus_consensus_gate,near_antiphase_boundary,0.25,16,60,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NaN,NaN,0.0010188,boundary_unreliable:60,low:60
rank1_refocus_consensus_gate,single_target_sanity,NaN,8,30,0,0.266666666666667,0.733333333333333,0.733333333333333,0,0.266666666666667,0.266666666666667,0,0,0.733333333333333,0.733333333333333,0.733333333333333,1,1,0,0,NaN,NaN,0.0367661,common_el_rank1_refocus:22;boundary_unreliable:8,medium:22;low:8
rank1_refocus_consensus_gate,single_target_sanity,NaN,16,30,0,0.0666666666666667,0.933333333333333,0.933333333333333,0,0.0666666666666667,0,0,0,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0,0,NaN,NaN,0.0377426,common_el_rank1_refocus:28;low_confidence:2,medium:28;low:2
rank1_refocus_consensus_gate,two_separated_coarse_peaks,4,8,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN,NaN,4.81e-05,frontend_reject:30,low:30
rank1_refocus_consensus_gate,two_separated_coarse_peaks,4,16,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NaN,NaN,4.57e-05,frontend_reject:30,low:30
