route_name,K_phi,P_phi,center_window_size,sigma_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,degraded_rate,oracle_best_subarray_tol_rate,center_window_two_peak_rate,best_route_minus_center_real,best_route_minus_min_den
center_window_3_avg_spectrum,28,38,3,NaN,7,0.376822064,24,0.760000000,0.670000000,0.640000000,0.081890857,1.760000000,0.240000000,0.680000000,0.753333333,0.000000000,0.000000000
center_window_3_avg_spectrum,28,38,3,NaN,7,0.376822064,28,0.970000000,0.930000000,0.850000000,0.079722875,1.970000000,0.030000000,0.950000000,0.970000000,0.000000000,0.000000000
center_window_3_avg_spectrum,28,38,3,NaN,7,0.376822064,30,1.000000000,0.990000000,0.990000000,0.079861789,2.000000000,0.000000000,0.990000000,1.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,28,38,3,NaN,10,0.263775445,24,0.110000000,0.100000000,0.060000000,0.065671714,1.110000000,0.890000000,0.110000000,0.103333333,0.000000000,0.000000000
center_window_3_avg_spectrum,28,38,3,NaN,10,0.263775445,28,0.050000000,0.050000000,0.010000000,0.077642070,1.050000000,0.950000000,0.050000000,0.050000000,0.000000000,0.000000000
center_window_3_avg_spectrum,28,38,3,NaN,10,0.263775445,30,0.040000000,0.040000000,0.020000000,0.065127837,1.040000000,0.960000000,0.070000000,0.060000000,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,7,0.376822064,24,0.360000000,0.210000000,0.190000000,0.093723050,1.360000000,0.640000000,0.210000000,0.353333333,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,7,0.376822064,28,0.640000000,0.340000000,0.260000000,0.097337131,1.640000000,0.360000000,0.360000000,0.633333333,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,7,0.376822064,30,0.750000000,0.260000000,0.180000000,0.101727609,1.750000000,0.250000000,0.290000000,0.746666667,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,10,0.263775445,24,0.030000000,0.030000000,0.020000000,0.068325010,1.030000000,0.970000000,0.030000000,0.026666667,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
center_window_3_avg_spectrum,32,34,3,NaN,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
center_window_5_avg_spectrum,20,46,5,NaN,7,0.376822064,24,0.960000000,0.890000000,0.840000000,0.068782195,1.960000000,0.040000000,0.900000000,0.960000000,0.000000000,0.000000000
center_window_5_avg_spectrum,20,46,5,NaN,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.062845781,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_5_avg_spectrum,20,46,5,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.061832402,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_5_avg_spectrum,20,46,5,NaN,10,0.263775445,24,0.040000000,0.010000000,0.000000000,0.130466155,1.040000000,0.960000000,0.020000000,0.040000000,0.000000000,0.000000000
center_window_5_avg_spectrum,20,46,5,NaN,10,0.263775445,28,0.240000000,0.230000000,0.110000000,0.060261237,1.240000000,0.760000000,0.320000000,0.254000000,0.000000000,0.000000000
