requested_center_az,actual_center_az,selected_center_column,delta_az,el,max_abs_a_error,rel_a_error,max_abs_G_error,rel_G_error,phase_aligned_rel_a_error,phase_aligned_rel_G_error,cache_miss_count,pass_flag
0,0,1,-1.26,9.17,0,0,1.06582335545853e-13,2.56930350926514e-15,0,1.62378118018791e-15,0,1
0,0,1,-1.26,9.23,0,0,3.5259676496365e-14,1.01370218504834e-15,0,9.80890344498145e-16,0,1
0,0,1,-1.26,9.29,0,0,6.43423812941351e-14,1.53585280734983e-15,0,9.80209028839663e-16,0,1
0,0,1,-1.26,9.35,0,0,2.92964275105423e-14,8.90851140998878e-16,0,6.20867564213509e-16,0,1
0,0,1,-1.26,9.41,0,0,1.39376109111524e-14,3.79731528073067e-16,0,3.79731528073067e-16,0,1
0,0,1,-1.26,9.47,0,0,1.01049569802057e-13,2.77930271390816e-15,0,2.41132727969141e-15,0,1
0,0,1,-1.26,9.53,0,0,1.38737904292204e-13,3.27587263659119e-15,0,2.09367260857865e-15,0,1
0,0,1,-1.26,9.59,0,0,1.95399252334028e-14,8.16244084005342e-16,0,7.02276294477923e-16,0,1
0,0,1,-1.26,9.65,0,0,6.43423812941351e-14,1.62562817821517e-15,0,1.42500612479797e-15,0,1
0,0,1,-1.26,9.71,0,0,4.73991124185827e-14,1.18195310311704e-15,0,6.28011071530031e-16,0,1
0,0,1,-1.26,9.77,0,0,7.13257595667253e-14,1.90355600324605e-15,0,1.81797936350672e-15,0,1
0,0,1,-1.26,9.83,0,0,4.8322130328186e-14,1.43379918498835e-15,0,8.27035491108064e-16,0,1
0,0,1,-1.26,9.89,0,0,3.49901718330021e-14,1.17431539125159e-15,0,6.60602390364434e-16,0,1
0,0,1,-1.26,9.95,0,0,8.92608264734997e-14,2.31696813319682e-15,0,1.45997482554762e-15,0,1
0,0,1,-1.26,10.01,0,0,4.67286527266918e-14,1.32799906923792e-15,0,7.76883538455026e-16,0,1
0,0,1,-1.26,10.07,0,0,3.66205343881779e-14,1.10126952544701e-15,0,9.86667366660047e-16,0,1
0,0,1,-1.26,10.13,0,0,6.07087979554246e-14,1.78669729033955e-15,0,7.88137312535165e-16,0,1
0,0,1,-1.26,10.19,0,0,5.08671187421198e-14,1.6092348623066e-15,0,1.30291842518387e-15,0,1
0,0,1,-1.26,10.25,0,0,2.38323278711738e-14,8.61482014484199e-16,0,6.95982422143224e-16,0,1
0,0,1,-1.26,10.31,0,0,7.7917093930542e-14,1.90245465935173e-15,0,1.57463850015312e-15,0,1
0,0,1,-1.26,10.37,0,0,3.34337539426576e-14,8.72781640412191e-16,0,6.47756588151243e-16,0,1
0,0,1,-1.26,10.43,0,0,3.11875856093015e-14,1.11066613350973e-15,0,9.82406929886785e-16,0,1
0,0,1,-1.26,10.49,0,0,3.87962189802265e-14,1.48717392718087e-15,0,7.30008138227711e-16,0,1
0,0,1,-1.26,10.55,0,0,2.38323278711738e-14,6.49666559611711e-16,0,4.70739058874072e-16,0,1
0,0,1,-1.26,10.61,0,0,6.59169618987202e-14,1.87634366495124e-15,0,1.82931115208481e-15,0,1
0,0,1,-1.26,10.67,0,0,4.26418150004715e-14,1.46674267720911e-15,0,1.1557717697238e-15,0,1
0,0,1,-1.26,10.73,0,0,3.6515368614459e-14,1.1782929561466e-15,0,5.19685824873441e-16,0,1
0,0,1,-1.26,10.79,0,0,8.52655800409205e-14,2.17590375717947e-15,0,1.33576843580685e-15,0,1
0,0,1,-1.26,10.85,0,0,6.41028584019172e-14,1.8504258770845e-15,0,1.41860994743573e-15,0,1
0,0,1,-1.26,10.91,0,0,3.60670435814948e-14,1.22227047553228e-15,0,8.83244600242996e-16,0,1
0,0,1,-1.26,10.97,0,0,3.60670435814948e-14,1.39885321074234e-15,0,8.77254788869654e-16,0,1
0,0,1,-1.26,11.03,0,0,5.72857867687912e-14,1.69513554252087e-15,0,5.75285440243646e-16,0,1
0,0,1,-1.26,11.09,0,0,2.22044604925031e-14,8.77083626849154e-16,0,7.08924775510523e-16,0,1
0,0,1,-1.26,11.15,0,0,3.70914197450764e-14,1.14587179563781e-15,0,5.73574470571513e-16,0,1
0,0,1,-1.26,11.21,0,0,4.14314051144892e-14,1.55084538912894e-15,0,1.22453281743808e-15,0,1
0,0,1,-1.26,11.27,0,0,3.05615986457135e-14,1.07051602667294e-15,0,6.67078051647815e-16,0,1
0,0,1,-1.26,11.33,0,0,5.51529477954916e-14,2.13890761532805e-15,0,1.42923606425835e-15,0,1
0,0,1,-1.26,11.39,0,0,6.78744995303148e-14,2.12886263357651e-15,0,7.41116431383651e-16,0,1
0,0,1,-1.26,11.45,0,0,4.00296604248672e-14,1.94275724512652e-15,0,1.56065522529487e-15,0,1
0,0,1,-1.26,11.51,0,0,3.17764371615651e-14,1.43742541515746e-15,0,8.02841822489046e-16,0,1
0,0,1,-1.26,11.57,0,0,5.69543329542959e-14,2.28172036971022e-15,0,1.4675972928868e-15,0,1
0,0,1,-1.26,11.63,0,0,2.92964275105423e-14,1.45607093289419e-15,0,9.43028198184436e-16,0,1
0,0,1,-1.26,11.69,0,0,3.32452016390518e-14,1.7777641222424e-15,0,1.35568842549457e-15,0,1
0,0,1,-1.26,11.75,0,0,1.06714553964164e-13,4.27535334112526e-15,0,1.32757471645215e-15,0,1
0,0,1,-1.26,11.81,0,0,4.79636905883062e-14,2.17880989205077e-15,0,1.12524211224812e-15,0,1
0,0,1,-1.26,11.87,0,0,3.9142880491419e-14,1.74606786244124e-15,0,5.57177299094269e-16,0,1
0,0,1,-1.18,8.75,0,0,3.01457752067285e-14,1.04485282490972e-15,0,7.97991855835672e-16,0,1
0,0,1,-1.18,8.81,0,0,3.23979742916611e-14,1.1567418011064e-15,0,9.70894227896459e-16,0,1
0,0,1,-1.18,8.87,0,0,3.84284740078725e-14,1.21223869229935e-15,0,1.00670155363221e-15,0,1
0,0,1,-1.18,8.93,0,0,1.00485917355762e-13,2.44095306233654e-15,0,9.36558886915084e-16,0,1
0,0,1,-1.18,8.99,0,0,5.70926725628887e-14,1.45072595778683e-15,0,6.7568448775027e-16,0,1
0,0,1,-1.18,9.05,0,0,4.39446412658135e-14,1.19558103547732e-15,0,8.90703983090153e-16,0,1
0,0,1,-1.18,9.11,0,0,6.39550138266809e-14,1.56132978142495e-15,0,8.3327185309419e-16,0,1
0,0,1,-1.18,9.17,0,0,3.33747149526714e-14,9.8222340491458e-16,0,9.61839619024295e-16,0,1
0,0,1,-1.18,9.23,0,0,3.20237283398938e-14,1.15137761399906e-15,0,9.70062319725391e-16,0,1
0,0,1,-1.18,9.29,0,0,2.4242552967657e-14,7.25462571692044e-16,0,6.2499071949172e-16,0,1
0,0,1,-1.18,9.35,0,0,2.16103136462856e-14,8.14142944204615e-16,0,7.05448191032918e-16,0,1
0,0,1,-1.18,9.41,0,0,3.69635913818286e-14,1.17269326625748e-15,0,9.79008387034033e-16,0,1
0,0,1,-1.18,9.47,0,0,3.62307127488235e-14,1.23815436391869e-15,0,1.13848540044033e-15,0,1
0,0,1,-1.18,9.53,0,0,3.44906109698464e-14,1.29364392395612e-15,0,1.22582695269974e-15,0,1
0,0,1,-1.18,9.59,0,0,3.90798504668055e-14,1.40851160070942e-15,0,1.18623099316836e-15,0,1
0,0,1,-1.18,9.65,0,0,2.48779155869711e-14,8.81318807930822e-16,0,9.20713425212425e-16,0,1
0,0,1,-1.18,9.71,0,0,4.39446412658135e-14,1.26006897991427e-15,0,1.12076255984075e-15,0,1
0,0,1,-1.18,9.77,0,0,7.11430359761095e-14,1.62396128350095e-15,0,1.07668146562402e-15,0,1
0,0,1,-1.18,9.83,0,0,4.81667927337392e-14,1.43410618260873e-15,0,9.55792028034439e-16,0,1
0,0,1,-1.18,9.89,0,0,1.00045325555191e-13,2.71132754805574e-15,0,1.5188968528872e-15,0,1
0,0,1,-1.18,9.95,0,0,5.08671187421198e-14,1.31741052937265e-15,0,1.03385078577988e-15,0,1
0,0,1,-1.18,10.01,0,0,3.5527136788005e-14,1.04823563531556e-15,0,7.40967774376873e-16,0,1
