summary_level,group,case_name,SNR,num_trials,full_success_rate,lazy_success_rate,lazy_vs_full_success_gap,route_agreement_full_vs_lazy,lazy_false_high_confidence_rate,lazy_false_medium_high_confidence_rate,lazy_boundary_missed_rate,lazy_low_confidence_rate,lazy_boundary_unreliable_rate,mean_full_runtime_sec,median_full_runtime_sec,p90_full_runtime_sec,p95_full_runtime_sec,mean_lazy_runtime_sec,median_lazy_runtime_sec,p90_lazy_runtime_sec,p95_lazy_runtime_sec,mean_runtime_speedup,median_runtime_speedup,p90_runtime_speedup,mean_runtime_reduction,mean_executed_stage_count,execution_rate_level2_music,execution_rate_refocus,execution_rate_level2_rank1,execution_rate_2dmusic,execution_rate_pair_local,early_stop_rate,heavy_route_trigger_rate,pair_local_trigger_rate,early_stop_stage1_rate,early_stop_stage2_rate,early_stop_stage3_rate,early_stop_stage4_rate,early_stop_stage5_rate,early_stop_stage6_rate,main_lazy_route,main_failure_reason
scenario_snr,phase_scan,phase_180,8,30,0,0,0,1,0,0,0,1,1,0.61289925,0.6129806,0.62403109,0.6260544,0.612379413333333,0.61030975,0.622705,0.62615953,1.00097876721222,1.00082794544092,1.02712847934434,0.000658694368642443,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,phase_scan,phase_180,16,30,0,0,0,1,0,0,0,1,1,0.611831506666667,0.6103149,0.62425613,0.632424415,0.612426603333333,0.6090735,0.62212455,0.63823074,0.999339116889135,0.99568036821408,1.02300587310408,-0.00115847495906257,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,large_el,A_el2_beta1_phase0_rho1,0,30,1,1,0,1,0,0,0,0,0,0.644032986666667,0.6403557,0.65479712,0.677026045,0.641976486666667,0.6389943,0.65611077,0.657613285,1.00323774897305,1.0041528561653,1.02311470584003,0.00278819906166536,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,A_el2_beta1_phase0_rho1,8,30,1,1,0,1,0,0,0,0,0,0.639618183333333,0.63407835,0.65103418,0.66854404,0.640662216666666,0.6356619,0.65522525,0.6650098,0.998863138841254,1.00304268860846,1.02568260766752,-0.0018678199177814,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,A_el2_beta1_phase0_rho1,16,30,1,1,0,1,0,0,0,0,0,0.638328316666667,0.63651065,0.64437472,0.661901395,0.637372923333333,0.63684975,0.6451849,0.65366226,1.00167485682303,1.00136549498817,1.02205521934543,0.00127279828713777,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,0,30,1,1,0,1,0,0,0,0,0,0.637913623333333,0.63725305,0.65372736,0.660600295,0.639068506666667,0.63710645,0.65329315,0.664412795,0.998374276633389,0.998221214367117,1.02096936243304,-0.00200287259377167,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,8,30,1,1,0,1,0,0,0,0,0,0.637505056666667,0.6355292,0.64524279,0.65600349,0.639271703333333,0.64025595,0.64793643,0.6526857,0.997353122936087,0.996821419678495,1.01127471177296,-0.00286978684327112,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,16,30,1,1,0,1,0,0,0,0,0,0.640836953333333,0.6381197,0.64898447,0.659505005,0.638600323333333,0.63702885,0.6441603,0.65158678,1.00342945649397,1.00214158199022,1.02053013510146,0.00323393966308272,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,0,30,1,1,0,1,0,0,0,0,0,0.63899451,0.6360244,0.6518471,0.65935873,0.638186656666667,0.6341856,0.64819038,0.6562317,1.00157807084859,1.0035057368704,1.02878371520662,0.00109798664452101,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,8,30,1,1,0,1,0,0,0,0,0,0.63853331,0.63651535,0.65167568,0.65316664,0.638820806666667,0.63882755,0.6479553,0.65578826,0.999689346100554,0.995609214632871,1.0218082731794,-0.00058247804904293,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,16,30,1,1,0,1,0,0,0,0,0,0.642570216666667,0.6372667,0.65844425,0.67462013,0.638633193333333,0.63628625,0.65388718,0.65750926,1.00635777697924,1.00613637813259,1.03041475178513,0.00580688296710738,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,0,30,1,1,0,1,0,0,0,0,0,0.642596246666667,0.6374154,0.66487361,0.68000999,0.64214884,0.63786925,0.65966744,0.671487585,1.00086440462871,1.00352076921251,1.02693649501807,0.000482805410938891,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,8,30,1,1,0,1,0,0,0,0,0,0.63921733,0.6321791,0.6669827,0.68141233,0.637818993333333,0.63545485,0.64761824,0.65245825,1.00219067227927,0.998787188887112,1.02492224190929,0.00180708720917153,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,16,30,1,1,0,1,0,0,0,0,0,0.638232803333333,0.63385235,0.6508249,0.6689233,0.63695961,0.63298535,0.65810249,0.67038458,1.00229876652165,1.00025146945838,1.02208459858994,0.00172646020696997,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
