route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_over_noise_array
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,22,200,200,200,1.000000,1.000000,1.000000,0.005635,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,24,200,200,200,1.000000,1.000000,1.000000,0.004183,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,26,200,200,200,1.000000,1.000000,1.000000,0.003240,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,28,200,200,200,1.000000,1.000000,1.000000,0.001732,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,4,0.700000,12.650000,13.350000,30,200,200,200,1.000000,1.000000,1.000000,0.000500,200,2.000000,4.000000,2.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,-4,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,-2,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,0,1,1,1,0.005000,0.005000,0.005000,0.065192,1,1.005000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,2,17,7,11,0.085000,0.035000,0.055000,0.102527,17,1.085000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,4,94,52,79,0.470000,0.260000,0.395000,0.088912,94,1.470000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,6,175,130,164,0.875000,0.650000,0.820000,0.072157,175,1.875000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,8,200,191,198,1.000000,0.955000,0.990000,0.051510,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,10,200,200,200,1.000000,1.000000,1.000000,0.034121,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,12,200,200,200,1.000000,1.000000,1.000000,0.026101,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,14,200,200,200,1.000000,1.000000,1.000000,0.020767,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,16,200,200,200,1.000000,1.000000,1.000000,0.015724,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,18,200,200,200,1.000000,1.000000,1.000000,0.012073,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,20,200,200,200,1.000000,1.000000,1.000000,0.009695,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,22,200,200,200,1.000000,1.000000,1.000000,0.008396,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,24,200,200,200,1.000000,1.000000,1.000000,0.006344,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,26,200,200,200,1.000000,1.000000,1.000000,0.005723,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,28,200,200,200,1.000000,1.000000,1.000000,0.004387,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,5,0.560000,12.720000,13.280000,30,200,200,200,1.000000,1.000000,1.000000,0.002828,200,2.000000,8.000000,8.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,-4,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,-2,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,2,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,4,1,0,0,0.005000,0.000000,0.000000,0.102334,1,1.005000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,6,12,9,9,0.060000,0.045000,0.045000,0.085684,12,1.060000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,8,68,51,54,0.340000,0.255000,0.270000,0.074480,68,1.340000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,10,167,145,157,0.835000,0.725000,0.785000,0.062547,167,1.835000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,12,197,195,196,0.985000,0.975000,0.980000,0.043855,197,1.985000,12.000000,12.000000,NaN
baseline_routeB_centerT_grid_music,6,0.466667,12.766667,13.233333,14,200,199,200,1.000000,0.995000,1.000000,0.032192,200,2.000000,12.000000,12.000000,NaN
